GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
helium,com.thesleepless.helium.action,ReflectionHelper,25,114,0,2,5,12,2,7,2,6
helium,com.thesleepless.helium.action,ConstructAction,11,64,0,0,4,10,0,3,0,3
helium,com.thesleepless.helium.action,ArticleAction,0,8,0,0,0,3,0,2,0,2
helium,com.thesleepless.helium.action,TextAction,0,11,0,0,0,3,0,2,0,2
helium,com.thesleepless.helium.action,CommentAction,0,17,0,0,0,5,0,2,0,2
helium,com.thesleepless.helium.action,VarAction,0,52,0,6,0,9,0,5,0,2
helium,com.thesleepless.helium.action,ReflectAction,20,116,0,10,6,22,0,9,0,4
helium,com.thesleepless.helium.action,IterateAction,0,45,0,4,0,10,0,4,0,2
helium,com.thesleepless.helium.action,AbstractAction,0,70,0,2,0,15,0,7,0,6
helium,com.thesleepless.helium.action,ListAction,0,78,0,6,0,12,0,6,0,3
helium,com.thesleepless.helium.action,LiteralAction,0,9,0,0,0,3,0,2,0,2
helium,com.thesleepless.helium.action,IncludeAction,0,33,0,0,0,8,0,2,0,2
helium,com.thesleepless.helium.action,WhenAction,0,66,0,14,0,13,0,9,0,2
helium,com.thesleepless.helium.action,FieldNotFoundException,0,11,0,0,0,2,0,1,0,1
helium,com.thesleepless.helium.action,ActionAction,0,15,0,0,0,3,0,2,0,2
helium,com.thesleepless.helium.action,XmlAction,0,70,0,4,0,22,0,5,0,3
helium,com.thesleepless.helium.action,ActionSetAction,6,99,0,8,2,21,0,8,0,4
helium,com.thesleepless.heliumx.net,UrlEncodeAction,0,89,0,8,0,19,0,9,0,5
helium,com.thesleepless.helium,NullArticle,0,26,0,0,0,13,0,13,0,13
helium,com.thesleepless.helium,NullWriter,0,6,0,0,0,4,0,4,0,4
helium,com.thesleepless.helium,ActionRegisterBuilder,0,87,0,6,0,19,0,6,0,3
helium,com.thesleepless.helium,AbstractHeliumContext,0,31,0,0,0,13,0,9,0,9
helium,com.thesleepless.helium,HeliumFactory,3,48,0,2,1,11,1,5,1,4
helium,com.thesleepless.helium,DefaultHeliumContext,0,3,0,0,0,1,0,1,0,1
helium,com.thesleepless.helium,ArticleNotFoundException,0,19,0,0,0,4,0,2,0,2
helium,com.thesleepless.helium,DefaultArticle,0,108,0,10,0,24,0,19,0,14
helium,com.thesleepless.helium,FileSystemArticleSource,0,14,0,0,0,4,0,2,0,2
helium,com.thesleepless.helium,NullArticleSource,0,8,0,0,0,2,0,2,0,2
helium,com.thesleepless.helium,DefaultArgument,0,14,0,0,0,5,0,3,0,3
helium,com.thesleepless.helium,HeliumException,0,13,0,0,0,6,0,3,0,3
helium,com.thesleepless.helium,ArticleBuilder,3,42,0,2,1,11,1,3,1,2
helium,com.thesleepless.helium,DefaultActionRegister,0,99,0,8,0,21,0,8,0,4
helium,com.thesleepless.helium,ActionRunner,3,51,0,8,1,16,1,7,1,3
helium,com.thesleepless.helium.util,ObjectIterator,0,28,0,4,0,9,0,5,0,3
helium,com.thesleepless.helium.util,IteratorFactory,3,38,0,8,1,9,1,6,1,2
helium,com.thesleepless.helium.util,AbstractIterator,0,17,0,0,0,2,0,2,0,2
helium,com.thesleepless.helium.util,TagUtil,3,64,0,4,1,15,1,4,1,2
helium,com.thesleepless.helium.util,ArgumentIterator,0,31,0,2,0,6,0,4,0,3
helium,com.thesleepless.heliumx.servlet,HeliumxServletFactory,3,18,0,0,1,4,1,2,1,2
helium,com.thesleepless.heliumx.servlet,ServletArticleSource,0,23,0,2,0,7,0,3,0,2
helium,com.thesleepless.heliumx.servlet,ServletHeliumContext,0,31,0,0,0,10,0,3,0,3
helium,com.thesleepless.heliumx.servlet,HeliumServlet,0,56,0,0,0,15,0,4,0,4
helium,com.thesleepless.helium.ui.text,InvalidCommandException,0,4,0,0,0,2,0,1,0,1
helium,com.thesleepless.helium.ui.text,Helium,3,215,0,12,1,44,1,13,1,7
helium,com.thesleepless.heliumx.servlet.action,HttpServletAction,0,17,0,2,0,6,0,4,0,3
helium,com.thesleepless.heliumx.servlet.action,ResponseAction,20,22,0,0,6,7,0,2,0,2
helium,com.thesleepless.heliumx.servlet.action,AttributeAction,0,81,0,10,0,15,0,8,0,3
helium,com.thesleepless.heliumx.servlet.action,RequestAction,20,35,0,2,6,9,0,3,0,2
helium,com.thesleepless.heliumx.servlet.action,ParameterAction,0,14,0,0,0,3,0,2,0,2
helium,com.thesleepless.heliumx.servlet.action,CookieAction,0,151,1,17,0,27,1,13,0,5
