mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;EXC
3;FAIL
4;FAIL
5;FAIL
6;FAIL
7;EXC
8;EXC
9;EXC
10;EXC
11;EXC
12;EXC
13;EXC
14;EXC
15;FAIL
16;EXC
17;FAIL
18;FAIL
19;FAIL
20;FAIL
21;EXC
22;FAIL
23;FAIL
24;FAIL
25;FAIL
26;FAIL
27;EXC
28;FAIL
29;EXC
30;EXC
31;FAIL
32;EXC
33;FAIL
34;EXC
35;FAIL
36;EXC
37;EXC
38;FAIL
39;FAIL
40;FAIL
41;FAIL
42;EXC
43;EXC
44;EXC
45;EXC
46;FAIL
47;FAIL
48;FAIL
49;FAIL
50;FAIL
51;FAIL
52;FAIL
53;FAIL
54;FAIL
55;FAIL
56;FAIL
57;EXC
58;EXC
59;EXC
60;FAIL
61;EXC
62;EXC
63;EXC
64;EXC
65;EXC
66;FAIL
67;FAIL
68;FAIL
69;FAIL
70;FAIL
71;FAIL
72;FAIL
73;FAIL
74;EXC
75;FAIL
76;FAIL
77;FAIL
78;FAIL
79;TIME
80;FAIL
81;FAIL
82;FAIL
83;FAIL
84;FAIL
85;FAIL
86;FAIL
87;EXC
88;FAIL
89;FAIL
90;FAIL
91;FAIL
92;FAIL
93;FAIL
94;FAIL
95;FAIL
96;FAIL
97;EXC
98;FAIL
99;FAIL
100;FAIL
101;EXC
102;FAIL
103;FAIL
105;FAIL
106;FAIL
107;FAIL
108;EXC
109;EXC
110;FAIL
111;FAIL
112;EXC
113;EXC
114;FAIL
115;EXC
116;EXC
117;EXC
118;EXC
119;FAIL
120;FAIL
121;FAIL
122;FAIL
123;FAIL
124;FAIL
125;EXC
126;FAIL
127;FAIL
128;FAIL
129;EXC
130;FAIL
131;EXC
132;EXC
133;FAIL
134;FAIL
135;EXC
136;FAIL
137;EXC
138;FAIL
139;FAIL
140;FAIL
141;FAIL
142;FAIL
143;EXC
144;FAIL
145;FAIL
146;EXC
147;FAIL
148;FAIL
149;FAIL
150;FAIL
151;EXC
152;FAIL
153;EXC
154;FAIL
155;FAIL
156;FAIL
157;FAIL
158;FAIL
159;FAIL
160;FAIL
161;FAIL
162;FAIL
163;FAIL
164;FAIL
165;FAIL
166;FAIL
167;FAIL
168;FAIL
169;FAIL
170;FAIL
171;FAIL
172;FAIL
173;FAIL
174;FAIL
175;FAIL
176;FAIL
177;FAIL
178;FAIL
179;FAIL
180;FAIL
181;FAIL
182;FAIL
183;FAIL
184;FAIL
185;FAIL
186;FAIL
187;FAIL
188;FAIL
189;FAIL
190;FAIL
191;FAIL
192;FAIL
193;FAIL
194;FAIL
195;FAIL
196;FAIL
197;FAIL
198;FAIL
199;FAIL
200;FAIL
201;FAIL
202;FAIL
203;FAIL
204;FAIL
205;FAIL
206;FAIL
207;FAIL
208;FAIL
209;FAIL
210;FAIL
211;FAIL
212;FAIL
213;FAIL
214;FAIL
215;FAIL
216;FAIL
217;FAIL
218;FAIL
219;FAIL
220;FAIL
221;EXC
222;FAIL
223;EXC
224;FAIL
225;FAIL
226;EXC
227;FAIL
228;EXC
229;EXC
230;FAIL
231;FAIL
232;FAIL
233;FAIL
234;FAIL
235;FAIL
236;FAIL
237;TIME
238;FAIL
239;FAIL
240;FAIL
241;EXC
242;FAIL
243;EXC
244;FAIL
245;FAIL
246;FAIL
247;FAIL
248;FAIL
249;FAIL
250;FAIL
251;EXC
252;FAIL
253;FAIL
254;FAIL
255;FAIL
256;FAIL
257;FAIL
258;FAIL
259;FAIL
260;FAIL
261;FAIL
262;FAIL
263;FAIL
264;FAIL
265;FAIL
266;FAIL
267;FAIL
268;FAIL
269;FAIL
270;FAIL
271;FAIL
272;FAIL
273;FAIL
274;FAIL
275;FAIL
276;FAIL
277;FAIL
278;FAIL
279;FAIL
280;FAIL
281;FAIL
282;FAIL
283;FAIL
284;FAIL
285;FAIL
286;FAIL
287;FAIL
288;FAIL
289;FAIL
290;FAIL
291;FAIL
292;FAIL
293;FAIL
294;FAIL
295;FAIL
296;FAIL
297;FAIL
298;FAIL
299;FAIL
300;FAIL
301;FAIL
302;FAIL
303;FAIL
304;FAIL
305;FAIL
306;FAIL
307;FAIL
308;FAIL
309;FAIL
310;FAIL
311;FAIL
312;FAIL
313;FAIL
314;FAIL
315;FAIL
316;FAIL
317;FAIL
318;FAIL
319;FAIL
320;FAIL
321;FAIL
322;FAIL
323;FAIL
324;FAIL
325;FAIL
327;FAIL
329;FAIL
