mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;EXC
3;EXC
4;FAIL
5;LIVE
6;FAIL
7;EXC
8;EXC
9;EXC
10;EXC
11;EXC
12;EXC
13;EXC
14;EXC
15;LIVE
16;EXC
17;FAIL
18;EXC
19;FAIL
20;EXC
21;EXC
22;FAIL
23;FAIL
24;FAIL
25;FAIL
26;FAIL
27;EXC
28;FAIL
29;EXC
30;EXC
31;LIVE
32;EXC
33;FAIL
34;EXC
35;FAIL
36;EXC
37;EXC
38;FAIL
39;FAIL
40;FAIL
41;FAIL
42;EXC
43;EXC
44;EXC
45;EXC
46;FAIL
47;FAIL
48;FAIL
49;FAIL
50;FAIL
51;FAIL
52;FAIL
53;FAIL
54;FAIL
55;FAIL
56;FAIL
57;EXC
58;EXC
59;EXC
60;LIVE
61;EXC
62;EXC
63;EXC
64;EXC
65;EXC
66;LIVE
67;FAIL
68;FAIL
69;FAIL
70;FAIL
71;FAIL
72;FAIL
73;FAIL
74;EXC
75;FAIL
76;FAIL
77;FAIL
78;FAIL
79;TIME
80;FAIL
81;FAIL
82;FAIL
83;LIVE
84;FAIL
85;FAIL
86;FAIL
87;EXC
88;FAIL
89;FAIL
90;FAIL
91;FAIL
115;LIVE
116;EXC
117;LIVE
118;EXC
119;FAIL
120;FAIL
121;FAIL
122;FAIL
123;FAIL
124;FAIL
125;EXC
126;FAIL
127;FAIL
128;FAIL
129;EXC
130;FAIL
131;EXC
132;EXC
133;FAIL
134;FAIL
135;EXC
136;FAIL
137;EXC
138;FAIL
139;FAIL
140;LIVE
141;FAIL
142;FAIL
143;EXC
144;FAIL
145;FAIL
146;EXC
147;FAIL
148;FAIL
149;FAIL
150;FAIL
151;EXC
152;FAIL
153;EXC
154;FAIL
155;FAIL
156;FAIL
157;FAIL
158;FAIL
159;FAIL
160;FAIL
161;FAIL
162;FAIL
163;FAIL
164;FAIL
165;FAIL
166;FAIL
167;FAIL
168;FAIL
169;FAIL
170;LIVE
171;EXC
172;FAIL
173;FAIL
174;FAIL
175;EXC
176;EXC
177;EXC
178;FAIL
179;FAIL
180;EXC
181;EXC
182;FAIL
183;FAIL
184;EXC
185;EXC
186;EXC
187;EXC
188;EXC
189;FAIL
190;EXC
191;EXC
192;FAIL
193;FAIL
194;EXC
195;LIVE
196;EXC
197;FAIL
198;FAIL
199;FAIL
200;FAIL
201;FAIL
202;FAIL
203;FAIL
204;FAIL
205;FAIL
206;EXC
207;FAIL
208;FAIL
209;LIVE
210;FAIL
211;FAIL
212;FAIL
213;FAIL
214;FAIL
215;FAIL
216;FAIL
217;FAIL
218;FAIL
219;FAIL
220;FAIL
221;EXC
222;LIVE
223;EXC
224;FAIL
225;FAIL
226;EXC
227;FAIL
228;EXC
229;EXC
230;EXC
231;FAIL
232;FAIL
233;LIVE
234;FAIL
235;FAIL
236;LIVE
237;TIME
238;FAIL
239;FAIL
240;FAIL
241;EXC
242;FAIL
243;EXC
244;FAIL
245;FAIL
246;FAIL
247;FAIL
248;LIVE
249;LIVE
250;LIVE
251;EXC
252;FAIL
253;FAIL
254;FAIL
255;FAIL
256;FAIL
257;EXC
258;EXC
259;EXC
260;FAIL
261;EXC
262;FAIL
263;FAIL
264;LIVE
265;FAIL
266;FAIL
267;FAIL
268;FAIL
269;EXC
270;EXC
271;LIVE
272;EXC
273;EXC
274;FAIL
275;FAIL
276;FAIL
277;FAIL
278;FAIL
279;FAIL
280;EXC
281;FAIL
282;FAIL
283;FAIL
284;EXC
285;FAIL
286;EXC
287;FAIL
288;EXC
289;FAIL
290;FAIL
291;EXC
292;FAIL
293;FAIL
294;EXC
295;FAIL
296;EXC
297;FAIL
298;FAIL
299;EXC
300;FAIL
301;FAIL
302;EXC
303;FAIL
304;FAIL
305;EXC
306;FAIL
307;FAIL
308;EXC
309;FAIL
310;EXC
311;LIVE
312;LIVE
313;EXC
314;FAIL
315;LIVE
316;FAIL
317;EXC
318;LIVE
319;FAIL
320;FAIL
321;FAIL
322;FAIL
323;FAIL
324;FAIL
325;EXC
327;FAIL
