CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
411;com.thesleepless.helium.RegisterActionTest$testRegisteredClassNotAction;49;1;1;12;12;1;0;1;0;323;12
864;com.thesleepless.helium.RegisterActionTest$testRegisterActionNullClass;53;1;1;11;12;2;0;2;0;322;23
2093;com.thesleepless.helium.ui.text.CommandLineTest$testArticleNotFound;40;1;11;36;38;13;4;9;0;311;59
2690;com.thesleepless.helium.ui.text.CommandLineTest$testCommandLineArgNotRecognized;27;1;9;20;28;22;9;13;0;302;79
2940;com.thesleepless.helium.ui.text.CommandLineTest$testNullArticlePathArg;30;1;2;7;15;24;9;15;0;300;86
3003;com.thesleepless.helium.util.IteratorFactoryTest$testNullIterator;33;1;3;3;3;27;11;16;0;297;89
3095;com.thesleepless.helium.util.IteratorFactoryTest$testCollectionIterator;27;1;2;4;5;29;12;17;0;295;93
3124;com.thesleepless.helium.util.IteratorFactoryTest$testIteratorIterator;129;1;1;1;3;30;13;17;0;294;94
3152;com.thesleepless.helium.util.IteratorFactoryTest$testArrayIterator;62;1;1;1;5;31;13;18;0;293;95
3152;com.thesleepless.helium.util.IteratorFactoryTest$testStringIterator;34;1;0;0;7;31;13;18;0;293;95
4161;com.thesleepless.helium.util.TagUtilTest$testNothingToReplace;42;1;1;17;19;32;13;18;1;292;112
5345;com.thesleepless.helium.util.TagUtilTest$testReplaceWithVar;69;1;14;31;34;46;24;21;1;278;143
5862;com.thesleepless.helium.util.TagUtilTest$testReplaceWithVarMultipleTimes;35;1;0;17;34;46;24;21;1;278;160
6125;com.thesleepless.helium.ActionRegisterBuilderTest$testOverride;26;2;5;8;10;51;24;26;1;273;168
6335;com.thesleepless.helium.ArticleBuilderTest$testLocateAndBuildIoException;44;2;0;6;12;51;24;26;1;273;174
6501;com.thesleepless.helium.ui.text.CommandLineTest$testZeroArgs;34;2;5;5;12;56;24;31;1;268;179
6502;com.thesleepless.helium.util.IteratorFactoryTest$testObjectIterator;30;2;0;0;7;56;24;31;1;268;179
7046;com.thesleepless.helium.util.TagUtilTest$testReplaceNonExistingVar;39;2;2;14;34;58;26;31;1;266;193
7270;com.thesleepless.helium.RegisterActionTest$testRegisterActionNullName;36;8;1;6;12;59;27;31;1;265;199
7678;com.thesleepless.helium.util.TagUtilTest$testFalseAlarm;55;9;1;11;25;60;27;32;1;264;210
20316;com.thesleepless.heliumx.servlet.action.CookieActionTest$testAddCookieWithDomainAndPath;233;9;31;54;68;91;40;50;1;233;264
26294;com.thesleepless.heliumx.servlet.action.CookieActionTest$testAddCookieWithDomainPathAgeAndSecure;248;9;4;25;70;95;44;50;1;229;289
30728;com.thesleepless.heliumx.servlet.action.RequestActionTest$testServletPathToVar;211;9;5;24;57;100;46;53;1;224;313
34997;com.thesleepless.heliumx.servlet.action.RequestActionTest$testContextPath;188;9;3;22;59;103;48;54;1;221;335
36300;com.thesleepless.heliumx.net.UrlEncodeActionTest$testChildContentBeatsValueArg;46;10;5;26;59;108;51;56;1;216;361
37370;com.thesleepless.heliumx.net.UrlEncodeActionTest$testProvideDifferentCharset;87;10;2;21;59;110;53;56;1;214;382
53371;com.thesleepless.heliumx.servlet.HeliumServletTest$testAttributeAction;435;10;14;43;82;124;64;59;1;200;425
60570;com.thesleepless.heliumx.servlet.action.CookieActionTest$testCookieNotFound;246;10;6;31;70;130;65;64;1;194;456
64814;com.thesleepless.heliumx.servlet.action.CookieActionTest$testAddCookieWithNonNumberAge;254;10;2;19;65;132;65;66;1;192;475
70628;com.thesleepless.heliumx.servlet.action.CookieActionTest$testRetrieveCookieValueWithTwoCookiesPresent;280;10;4;26;71;136;69;66;1;188;501
74216;com.thesleepless.heliumx.servlet.action.RequestActionTest$testServletPath;171;10;0;19;59;136;69;66;1;188;520
77433;com.thesleepless.heliumx.servlet.action.RequestActionTest$testContextPathToVar;177;10;0;18;57;136;69;66;1;188;538
78251;com.thesleepless.helium.RegisterActionTest$testRegisteredActionInstantiationException;47;11;0;15;48;136;69;66;1;188;553
79360;com.thesleepless.helium.action.ListActionTest$testListWithValueArgAndChildText;48;11;4;21;57;140;73;66;1;184;574
80203;com.thesleepless.helium.action.ReflectActionTest$testBeanNotInDataMap;47;11;1;16;45;141;73;67;1;183;590
81449;com.thesleepless.helium.action.ReflectActionTest$testSetterWithFromVarAndChildContent;48;11;7;24;57;148;76;71;1;176;614
82702;com.thesleepless.helium.action.ReflectActionTest$testCopyToVar;48;11;6;24;60;154;80;73;1;170;638
83423;com.thesleepless.heliumx.net.UrlEncodeActionTest$testMissingArg;47;11;1;14;41;155;81;73;1;169;652
84376;com.thesleepless.heliumx.net.UrlEncodeActionTest$testEncodeFromVarArg;51;11;1;17;51;156;81;74;1;168;669
84426;com.thesleepless.helium.ActionRegisterBuilderTest$testDefault;34;12;0;2;10;156;81;74;1;168;671
85219;com.thesleepless.helium.ArticleParserTest$testParseCDATA;62;12;4;16;43;160;84;75;1;164;687
86717;com.thesleepless.helium.action.IterateActionTest$testIterateOverArray;57;12;4;22;75;164;87;75;2;160;709
87309;com.thesleepless.helium.action.ListActionTest$testListNameNotDefined;51;12;0;13;49;164;87;75;2;160;722
88295;com.thesleepless.helium.action.ListActionTest$testListAlreadyHasItems;52;12;3;18;56;167;90;75;2;157;740
88981;com.thesleepless.helium.action.ListActionTest$testListVarInUseButNotList;50;12;0;14;50;167;90;75;2;157;754
89641;com.thesleepless.helium.action.ListActionTest$testListWithChildText;51;12;0;14;57;167;90;75;2;157;768
90443;com.thesleepless.helium.action.ReflectActionTest$testSetterWithChildContentAndValue;54;12;2;17;66;169;92;75;2;155;785
91910;com.thesleepless.helium.ui.text.CommandLineTest$testInjectVarAsPropertyFile;53;12;10;30;104;179;100;77;2;145;815
92813;com.thesleepless.helium.ui.text.CommandLineTest$testParsePlainArticle;54;12;0;15;75;179;100;77;2;145;830
93525;com.thesleepless.heliumx.net.UrlEncodeActionTest$testEncodeFromVarArgButVarNotExist;108;12;1;15;48;180;100;78;2;144;845
94240;com.thesleepless.heliumx.net.UrlEncodeActionTest$testFromVarBeatsChildContent;50;12;0;14;51;180;100;78;2;144;859
103270;com.thesleepless.heliumx.servlet.HeliumServletTest$testParameterAction;400;12;1;24;74;181;101;78;2;143;883
111659;com.thesleepless.heliumx.servlet.HeliumServletTest$testRequestAction;385;12;0;23;80;181;101;78;2;143;906
114331;com.thesleepless.heliumx.servlet.action.ParameterActionTest$testReadParameter;129;12;0;16;58;181;101;78;2;143;922
