CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
1;org.jacoco.core.JaCoCoTest$null;3;8;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.analysis.AnalyzerTest$null;56;156;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.analysis.CounterComparatorTest$null;5;7;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.analysis.CoverageBuilderTest$null;5;6;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.analysis.CoverageNodeImplTest$null;6;4;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.analysis.NodeComparatorTest$null;4;3;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.data.ExecutionDataReaderWriterTest$null;11;12;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.data.ExecutionDataStoreTest$null;6;6;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.data.ExecutionDataTest$null;5;4;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.data.SessionInfoStoreTest$null;5;4;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.data.SessionInfoTest$null;8;1;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.internal.ContentTypeDetectorTest$null;11;15;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.internal.Pack200StreamsTest$null;18;26;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.internal.analysis.BundleCoverageImplTest$null;4;3;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.internal.analysis.ClassCoverageImplTest$null;4;3;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.internal.analysis.CounterImplTest$null;7;7;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.internal.analysis.LineImplTest$null;5;5;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.MethodCoverageImplTest$null;5;5;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.PackageCoverageTest$null;4;1;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.SourceFileCoverageImplTest$null;3;1;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.SourceNodeImplTest$null;8;8;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.StringPoolTest$null;4;1;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.data.CRC64Test$null;3;2;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.data.CompactDataInputOutputTest$null;5;3;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.flow.InstructionTest$null;8;7;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.instr.SignatureRemoverTest$null;5;3;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.runtime.AgentOptionsTest$null;11;10;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.runtime.RemoteControlReaderWriterTest$null;11;7;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.runtime.WildcardMatcherTest$null;5;2;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.tools.ExecDumpClientTest$null;45;124;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.tools.ExecFileLoaderTest$null;6;10;0;0;0;0;0;0;0;0;0
