CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;org.jacoco.core.JaCoCoTest$null;3;11;0;0;0;0;0;0;0;0;0
0;org.jacoco.core.analysis.AnalyzerTest$null;69;213;0;0;0;0;0;0;0;0;0
0;org.jacoco.core.analysis.CounterComparatorTest$null;10;10;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.analysis.CoverageBuilderTest$null;8;9;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.analysis.CoverageNodeImplTest$null;8;5;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.analysis.NodeComparatorTest$null;6;3;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.data.ExecutionDataReaderWriterTest$null;16;16;0;0;0;0;0;0;0;0;0
1;org.jacoco.core.data.ExecutionDataStoreTest$null;8;8;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.data.ExecutionDataTest$null;7;5;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.data.SessionInfoStoreTest$null;7;3;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.data.SessionInfoTest$null;5;6;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.internal.ContentTypeDetectorTest$null;18;17;0;0;0;0;0;0;0;0;0
2;org.jacoco.core.internal.Pack200StreamsTest$null;32;25;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.BundleCoverageImplTest$null;7;2;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.ClassCoverageImplTest$null;6;3;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.CounterImplTest$null;11;9;0;0;0;0;0;0;0;0;0
3;org.jacoco.core.internal.analysis.LineImplTest$null;8;6;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.internal.analysis.MethodCoverageImplTest$null;7;5;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.internal.analysis.PackageCoverageTest$null;5;2;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.internal.analysis.SourceFileCoverageImplTest$null;4;0;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.internal.analysis.SourceNodeImplTest$null;10;9;0;0;0;0;0;0;0;0;0
4;org.jacoco.core.internal.analysis.StringPoolTest$null;5;2;0;0;0;0;0;0;0;0;0
5;org.jacoco.core.internal.data.CRC64Test$null;5;2;0;0;0;0;0;0;0;0;0
5;org.jacoco.core.internal.data.CompactDataInputOutputTest$null;7;5;0;0;0;0;0;0;0;0;0
5;org.jacoco.core.internal.flow.InstructionTest$null;14;8;0;0;0;0;0;0;0;0;0
5;org.jacoco.core.internal.instr.SignatureRemoverTest$null;6;5;0;0;0;0;0;0;0;0;0
5;org.jacoco.core.runtime.AgentOptionsTest$null;16;20;0;0;0;0;0;0;0;0;0
6;org.jacoco.core.runtime.RemoteControlReaderWriterTest$null;16;14;0;0;0;0;0;0;0;0;0
6;org.jacoco.core.runtime.WildcardMatcherTest$null;5;2;0;0;0;0;0;0;0;0;0
6;org.jacoco.core.tools.ExecDumpClientTest$null;49;12;0;0;0;0;0;0;0;0;0
6;org.jacoco.core.tools.ExecFileLoaderTest$null;7;5;0;0;0;0;0;0;0;0;0
