CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
27778;org.jbehave.core.ConfigurableEmbedderBehaviour$null;148;232;26;111;111;26;6;19;1;2444;111
27778;org.jbehave.core.InjectableEmbedderBehaviour$null;97;138;0;0;0;26;6;19;1;2444;111
151195;org.jbehave.core.configuration.AnnotationBuilderBehaviour$null;80;108;191;191;214;217;6;193;18;2253;302
151718;org.jbehave.core.configuration.KeywordsBehaviour$null;4;3;34;34;40;251;6;225;20;2219;336
151929;org.jbehave.core.configuration.ParanamerConfigurationBehaviour$null;26;36;1;1;103;252;6;225;21;2218;337
152376;org.jbehave.core.configuration.PropertyBasedConfigurationBehaviour$null;28;42;2;2;104;254;6;227;21;2216;339
153705;org.jbehave.core.configuration.UnmodifiableConfigurationBehaviour$null;41;48;1;2;104;255;6;228;21;2215;341
1437665;org.jbehave.core.embedder.EmbedderBehaviour$null;6639;6766;584;583;766;839;6;811;22;1631;924
1448882;org.jbehave.core.embedder.EmbedderClassLoaderBehaviour$null;44;57;14;15;118;853;6;814;33;1617;939
1457189;org.jbehave.core.embedder.EmbedderControlsBehaviour$null;24;23;38;39;65;892;6;816;70;1578;978
1479018;org.jbehave.core.embedder.EmbedderMonitorBehaviour$null;173;148;27;26;40;919;6;842;71;1551;1004
1496629;org.jbehave.core.embedder.MetaFilterBehaviour$null;396;471;31;31;51;950;6;873;71;1520;1035
1508315;org.jbehave.core.embedder.StoryMapperBehaviour$null;97;105;13;14;68;963;6;876;81;1507;1049
1801649;org.jbehave.core.embedder.StoryRunnerBehaviour$null;266;319;278;277;455;1241;6;1154;81;1229;1326
1801649;org.jbehave.core.embedder.executors.ExecutorsBehaviour$null;7;4;0;0;11;1241;6;1154;81;1229;1326
1801649;org.jbehave.core.failures.FailureStrategyBehaviour$null;3;1;0;0;0;1241;6;1154;81;1229;1326
1801649;org.jbehave.core.failures.StepFailureBehaviour$null;4;2;0;0;0;1241;6;1154;81;1229;1326
1801649;org.jbehave.core.i18n.LocalizedKeywordsBehaviour$null;57;37;0;0;102;1241;6;1154;81;1229;1326
1801863;org.jbehave.core.io.CodeLocationsBehaviour$null;10;8;1;2;6;1242;6;1154;82;1228;1328
1804207;org.jbehave.core.io.IOUtilsBehaviour$null;97;109;3;3;6;1245;6;1156;83;1225;1331
1804445;org.jbehave.core.io.LoadFromRelativeFileBehaviour$null;10;8;2;4;12;1247;6;1157;84;1223;1335
1804970;org.jbehave.core.io.RelativePathCalculatorBehaviour$null;4;2;24;32;32;1271;6;1179;86;1199;1367
1808896;org.jbehave.core.io.StoryFinderBehaviour$null;30;45;17;28;42;1288;6;1196;86;1182;1395
1809446;org.jbehave.core.io.StoryLocationBehaviour$null;16;235;5;5;12;1293;6;1198;89;1177;1400
1809446;org.jbehave.core.io.StoryNameResolverBehaviour$null;7;4;0;0;6;1293;6;1198;89;1177;1400
1809447;org.jbehave.core.io.StoryPathResolverBehaviour$null;7;7;0;0;30;1293;6;1198;89;1177;1400
1809447;org.jbehave.core.io.UnderscoredToCapitalizedBehaviour$null;6;3;0;0;6;1293;6;1198;89;1177;1400
1854408;org.jbehave.core.model.ExamplesTableBehaviour$null;46;49;79;80;302;1372;6;1217;148;1098;1480
1854408;org.jbehave.core.model.ExamplesTableFactoryBehaviour$null;88;94;0;0;111;1373;6;1217;149;1097;1480
1854409;org.jbehave.core.model.MetaBehaviour$null;18;18;0;0;41;1373;6;1217;149;1097;1480
1855238;org.jbehave.core.model.OutcomesTableBehaviour$null;18;16;9;10;18;1382;6;1222;153;1088;1490
1855451;org.jbehave.core.model.StoryMapsBehaviour$null;26;27;0;1;67;1382;6;1222;153;1088;1491
1855452;org.jbehave.core.model.TableTransformersBehaviour$null;8;5;0;0;61;1382;6;1222;153;1088;1491
1856205;org.jbehave.core.parsers.RegexPrefixCapturingPatternParserBehaviour$null;21;19;33;32;38;1415;6;1252;156;1055;1523
1863641;org.jbehave.core.parsers.TransformingStoryParserBehaviour$null;20;28;40;54;142;1455;6;1260;188;1015;1577
1871164;org.jbehave.core.reporters.ANSIConsoleOutputBehaviour$null;14;11;48;69;133;1503;19;1262;221;967;1646
