mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;FAIL
3;FAIL
4;FAIL
5;EXC
6;EXC
8;EXC
9;EXC
10;EXC
11;EXC
12;EXC
14;EXC
15;EXC
16;EXC
18;EXC
19;EXC
20;EXC
21;EXC
22;EXC
23;EXC
24;EXC
25;EXC
26;EXC
27;EXC
28;EXC
29;EXC
30;EXC
31;EXC
32;EXC
33;EXC
34;EXC
35;EXC
36;EXC
37;EXC
38;EXC
39;EXC
40;EXC
41;EXC
42;EXC
43;EXC
44;EXC
45;EXC
46;EXC
47;EXC
48;EXC
49;EXC
50;EXC
51;EXC
52;EXC
53;EXC
54;EXC
55;EXC
56;EXC
57;EXC
58;EXC
59;EXC
60;EXC
61;EXC
62;EXC
63;EXC
65;EXC
66;EXC
67;EXC
68;EXC
69;EXC
70;EXC
71;EXC
72;EXC
73;EXC
74;EXC
75;EXC
76;EXC
77;EXC
78;EXC
79;EXC
80;EXC
81;EXC
82;EXC
83;EXC
84;EXC
85;EXC
86;EXC
87;EXC
88;EXC
89;EXC
90;EXC
91;EXC
92;EXC
93;EXC
94;EXC
95;EXC
96;EXC
104;EXC
105;EXC
106;EXC
107;EXC
108;EXC
109;EXC
110;EXC
111;EXC
112;EXC
113;EXC
114;EXC
115;EXC
116;EXC
117;EXC
118;EXC
119;EXC
120;EXC
121;EXC
122;EXC
123;EXC
124;EXC
125;EXC
126;EXC
127;EXC
128;EXC
129;EXC
130;EXC
131;EXC
132;EXC
134;EXC
135;EXC
136;EXC
137;EXC
138;EXC
139;EXC
140;EXC
141;EXC
142;EXC
143;EXC
144;EXC
145;EXC
146;EXC
147;EXC
148;TIME
149;TIME
150;EXC
151;TIME
152;EXC
153;TIME
154;TIME
155;EXC
156;TIME
157;TIME
158;EXC
159;EXC
160;EXC
161;EXC
162;EXC
163;EXC
175;EXC
176;EXC
177;EXC
178;EXC
179;EXC
180;EXC
181;EXC
182;EXC
183;EXC
184;EXC
185;EXC
186;EXC
187;EXC
188;EXC
189;EXC
190;EXC
191;EXC
192;EXC
193;EXC
194;EXC
195;EXC
196;EXC
197;EXC
198;EXC
199;EXC
200;EXC
201;EXC
202;EXC
203;EXC
204;EXC
205;EXC
206;EXC
207;EXC
208;EXC
209;EXC
210;EXC
211;EXC
212;EXC
213;EXC
214;EXC
215;EXC
216;EXC
217;EXC
218;EXC
219;EXC
220;EXC
221;EXC
222;EXC
223;EXC
