GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Junit-r4.11,org.junit.runners,MethodSorters,5,52,0,0,0,8,1,4,1,4
Junit-r4.11,org.junit.runners,BlockJUnit4ClassRunner.new ReflectiveCallable() {...},0,10,0,0,0,2,0,2,0,2
Junit-r4.11,org.junit.runners,AllTests,4,0,0,0,2,0,1,0,1,0
Junit-r4.11,org.junit.runners,JUnit4,4,0,0,0,2,0,1,0,1,0
Junit-r4.11,org.junit.runners,Parameterized.TestClassRunnerForParameters,243,64,19,3,30,18,12,9,1,9
Junit-r4.11,org.junit.runners,Parameterized,50,133,5,7,9,28,6,10,1,9
Junit-r4.11,org.junit.runners,ParentRunner,24,362,1,23,6,94,1,36,0,25
Junit-r4.11,org.junit.runners,ParentRunner.new Runnable() {...},0,20,0,0,0,3,0,2,0,2
Junit-r4.11,org.junit.runners,ParentRunner.new Statement() {...},0,15,0,0,0,3,0,2,0,2
Junit-r4.11,org.junit.runners,ParentRunner.new Comparator() {...},0,19,0,0,0,2,0,2,0,2
Junit-r4.11,org.junit.runners,Suite,14,72,0,2,3,19,1,10,1,9
Junit-r4.11,org.junit.runners,ParentRunner.new RunnerScheduler() {...},0,10,0,0,0,4,0,3,0,3
Junit-r4.11,org.junit.runners,BlockJUnit4ClassRunner,41,395,6,32,5,85,5,46,0,32
Junit-r4.11,org.junit.internal.runners.rules,RuleFieldValidator,65,145,10,10,7,28,11,11,3,9
Junit-r4.11,org.junit.experimental,ParallelComputer.new RunnerScheduler() {...},4,23,0,0,2,8,0,3,0,3
Junit-r4.11,org.junit.experimental,ParallelComputer,0,58,1,5,0,13,1,8,0,6
Junit-r4.11,junit.textui,ResultPrinter,148,109,9,3,26,28,13,10,7,10
Junit-r4.11,junit.textui,TestRunner,221,50,17,1,59,17,21,6,12,6
Junit-r4.11,org.hamcrest.core,IsSame,34,0,2,0,8,0,6,0,5,0
Junit-r4.11,org.hamcrest.core,AllOf,174,0,4,0,43,0,12,0,10,0
Junit-r4.11,org.hamcrest.core,CombinableMatcher.CombinableEitherMatcher,14,0,0,0,4,0,2,0,2,0
Junit-r4.11,org.hamcrest.core,CombinableMatcher,71,0,2,0,17,0,9,0,8,0
Junit-r4.11,org.hamcrest.core,AnyOf,138,0,0,0,37,0,10,0,10,0
Junit-r4.11,org.hamcrest.core,Is,26,20,0,0,8,6,4,4,4,4
Junit-r4.11,org.hamcrest.core,DescribedAs,82,0,4,0,19,0,8,0,6,0
Junit-r4.11,org.hamcrest.core,SubstringMatcher,22,10,0,0,4,4,2,2,2,2
Junit-r4.11,org.hamcrest.core,IsNull,13,16,0,2,4,4,3,5,3,4
Junit-r4.11,org.hamcrest.core,IsNot,8,24,0,2,2,6,1,5,1,4
Junit-r4.11,org.hamcrest.core,Every,8,39,0,4,2,10,1,5,1,3
Junit-r4.11,org.hamcrest.core,CombinableMatcher.CombinableBothMatcher,14,0,0,0,4,0,2,0,2,0
Junit-r4.11,org.hamcrest.core,StringContains,2,18,0,2,1,4,1,4,1,3
Junit-r4.11,org.hamcrest.core,IsEqual,64,31,19,3,10,9,15,5,4,5
Junit-r4.11,org.hamcrest.core,IsAnything,27,0,0,0,10,0,6,0,6,0
Junit-r4.11,org.hamcrest.core,StringEndsWith,16,0,0,0,5,0,4,0,4,0
Junit-r4.11,org.hamcrest.core,IsCollectionContaining,121,0,10,0,24,0,12,0,7,0
Junit-r4.11,org.hamcrest.core,StringStartsWith,16,0,0,0,5,0,4,0,4,0
Junit-r4.11,org.hamcrest.core,ShortcutCombination,49,0,6,0,9,0,6,0,3,0
Junit-r4.11,org.hamcrest.core,IsInstanceOf,112,0,20,0,24,0,16,0,6,0
Junit-r4.11,org.junit.runners.model,FrameworkMember,0,22,0,4,0,6,0,4,0,2
Junit-r4.11,org.junit.runners.model,FrameworkMethod.new ReflectiveCallable() {...},0,21,0,0,0,2,0,2,0,2
Junit-r4.11,org.junit.runners.model,MultipleFailureException,75,4,5,1,12,2,6,1,3,1
Junit-r4.11,org.junit.runners.model,TestClass,51,283,5,35,10,55,4,30,0,14
Junit-r4.11,org.junit.runners.model,FrameworkMethod,47,221,9,19,7,35,9,23,4,14
Junit-r4.11,org.junit.runners.model,NoGenericTypeParametersValidator,151,0,16,0,25,0,14,0,6,0
Junit-r4.11,org.junit.runners.model,FrameworkField,0,46,0,0,0,13,0,9,0,9
Junit-r4.11,org.junit.runners.model,RunnerBuilder,15,90,1,5,1,19,2,8,1,6
Junit-r4.11,org.junit.runners.model,InitializationError,0,26,0,0,0,8,0,4,0,4
Junit-r4.11,org.junit.runners.model,Statement,0,3,0,0,0,1,0,1,0,1
Junit-r4.11,org.junit.internal.requests,SortingRequest,0,22,0,0,0,7,0,2,0,2
Junit-r4.11,org.junit.internal.requests,FilterRequest,0,44,0,0,0,9,0,2,0,2
Junit-r4.11,org.junit.internal.requests,ClassRequest,5,42,1,1,1,11,1,3,0,3
Junit-r4.11,org.junit.internal.matchers,StacktracePrintingMatcher,55,0,0,0,15,0,7,0,7,0
Junit-r4.11,org.junit.internal.matchers,TypeSafeMatcher,85,0,18,0,13,0,14,0,5,0
Junit-r4.11,org.junit.internal.matchers,ThrowableCauseMatcher,38,0,0,0,11,0,5,0,5,0
Junit-r4.11,org.junit.internal.matchers,ThrowableMessageMatcher,38,0,0,0,11,0,5,0,5,0
Junit-r4.11,junit.framework,TestFailure,49,16,0,0,10,6,4,3,4,3
Junit-r4.11,junit.framework,AssertionFailedError,2,12,1,1,0,5,1,3,0,3
Junit-r4.11,junit.framework,JUnit4TestAdapter,3,101,0,8,1,28,1,15,1,11
Junit-r4.11,junit.framework,TestCase,210,116,7,3,78,46,37,19,33,18
Junit-r4.11,junit.framework,TestResult.new Protectable() {...},0,13,0,0,0,3,0,2,0,2
Junit-r4.11,junit.framework,TestSuite,233,266,13,27,41,62,18,28,8,18
Junit-r4.11,junit.framework,ComparisonCompactor,258,0,24,0,35,0,20,0,8,0
Junit-r4.11,junit.framework,JUnit4TestCaseFacade,5,15,0,0,1,6,1,4,1,4
Junit-r4.11,junit.framework,TestResult,18,205,1,11,6,53,3,21,2,16
