mutantNo;[FAIL | TIME | EXC | LIVE]
325;EXC
326;FAIL
327;FAIL
328;FAIL
329;FAIL
330;FAIL
331;FAIL
332;FAIL
333;FAIL
334;FAIL
335;FAIL
336;FAIL
337;FAIL
338;FAIL
339;FAIL
340;FAIL
341;FAIL
342;FAIL
343;FAIL
344;FAIL
345;FAIL
346;FAIL
347;FAIL
348;FAIL
349;FAIL
350;FAIL
351;FAIL
352;FAIL
353;FAIL
354;FAIL
355;FAIL
356;FAIL
357;FAIL
358;FAIL
359;FAIL
360;FAIL
361;FAIL
362;FAIL
363;FAIL
364;FAIL
365;FAIL
366;FAIL
367;FAIL
368;FAIL
369;FAIL
370;FAIL
371;FAIL
372;FAIL
373;FAIL
374;FAIL
375;FAIL
376;FAIL
377;FAIL
378;FAIL
379;FAIL
380;FAIL
381;FAIL
382;FAIL
383;FAIL
385;FAIL
386;FAIL
387;FAIL
388;FAIL
390;FAIL
391;FAIL
392;FAIL
393;FAIL
394;FAIL
395;FAIL
396;FAIL
397;FAIL
398;FAIL
399;FAIL
400;FAIL
401;FAIL
402;FAIL
403;FAIL
404;FAIL
405;FAIL
406;FAIL
407;FAIL
408;FAIL
409;FAIL
410;FAIL
411;FAIL
412;FAIL
413;FAIL
414;FAIL
415;FAIL
416;FAIL
417;FAIL
418;FAIL
419;FAIL
420;FAIL
421;FAIL
422;FAIL
423;FAIL
424;FAIL
425;FAIL
426;FAIL
427;FAIL
428;FAIL
429;FAIL
430;FAIL
431;FAIL
432;FAIL
433;FAIL
434;FAIL
435;FAIL
436;FAIL
437;FAIL
438;FAIL
439;FAIL
440;FAIL
441;FAIL
444;FAIL
445;FAIL
446;FAIL
447;EXC
448;FAIL
449;FAIL
450;FAIL
451;FAIL
452;FAIL
453;FAIL
454;FAIL
455;FAIL
456;FAIL
457;FAIL
458;FAIL
459;FAIL
460;FAIL
461;FAIL
463;FAIL
464;FAIL
465;FAIL
467;FAIL
469;FAIL
470;FAIL
471;FAIL
473;FAIL
474;FAIL
476;FAIL
477;FAIL
479;FAIL
480;FAIL
481;FAIL
482;FAIL
484;FAIL
485;FAIL
486;FAIL
487;FAIL
489;FAIL
490;FAIL
491;FAIL
492;FAIL
493;FAIL
494;FAIL
496;FAIL
497;FAIL
498;FAIL
499;FAIL
