mutantNo;[FAIL | TIME | EXC | LIVE]
6;FAIL
7;FAIL
8;FAIL
9;LIVE
10;LIVE
11;LIVE
12;LIVE
13;LIVE
14;LIVE
15;FAIL
16;FAIL
17;FAIL
18;FAIL
19;LIVE
20;FAIL
21;FAIL
22;FAIL
23;FAIL
24;FAIL
25;FAIL
26;FAIL
27;FAIL
28;FAIL
29;LIVE
30;LIVE
31;FAIL
32;LIVE
33;FAIL
34;FAIL
35;LIVE
36;LIVE
37;LIVE
38;LIVE
39;FAIL
40;EXC
41;FAIL
42;FAIL
43;LIVE
44;LIVE
45;FAIL
46;LIVE
47;FAIL
49;FAIL
50;LIVE
51;LIVE
52;LIVE
53;FAIL
54;FAIL
55;FAIL
56;LIVE
57;LIVE
58;LIVE
109;FAIL
110;FAIL
111;FAIL
112;FAIL
113;EXC
114;FAIL
115;EXC
116;FAIL
117;FAIL
118;LIVE
119;FAIL
120;LIVE
121;FAIL
122;FAIL
123;LIVE
124;FAIL
125;LIVE
126;LIVE
127;EXC
128;EXC
129;LIVE
130;LIVE
131;EXC
132;LIVE
133;LIVE
134;LIVE
135;LIVE
136;FAIL
137;FAIL
138;FAIL
139;FAIL
140;FAIL
141;FAIL
142;FAIL
143;FAIL
144;FAIL
145;FAIL
146;FAIL
147;FAIL
148;FAIL
149;LIVE
150;EXC
151;FAIL
152;FAIL
153;FAIL
154;FAIL
155;FAIL
156;FAIL
157;EXC
158;FAIL
159;FAIL
160;FAIL
161;FAIL
162;LIVE
163;FAIL
165;LIVE
166;LIVE
167;FAIL
168;FAIL
169;FAIL
170;FAIL
171;FAIL
172;EXC
173;FAIL
174;EXC
175;LIVE
176;FAIL
177;FAIL
178;LIVE
179;LIVE
180;LIVE
181;FAIL
182;FAIL
183;LIVE
184;FAIL
185;FAIL
186;FAIL
187;FAIL
188;LIVE
189;FAIL
190;LIVE
191;LIVE
192;FAIL
193;EXC
194;FAIL
195;EXC
196;FAIL
197;FAIL
201;FAIL
203;FAIL
204;FAIL
205;FAIL
206;FAIL
207;FAIL
208;FAIL
209;FAIL
210;FAIL
211;FAIL
212;FAIL
213;FAIL
214;FAIL
215;FAIL
216;FAIL
217;LIVE
218;FAIL
219;FAIL
220;LIVE
221;FAIL
