GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tyburn,org.lunivore.tyburn.asciigrid,ColorScheme.new ColorScheme() {...},0,11,0,2,0,2,0,3,0,2
tyburn,org.lunivore.tyburn.asciigrid,ImageToAsciiGridConverter,0,82,0,6,0,16,0,7,0,4
tyburn,org.lunivore.tyburn.asciigrid,ColorScheme,0,5,0,0,0,1,0,1,0,1
tyburn,org.lunivore.tyburn,ComponentFinder,0,77,1,9,0,17,1,8,0,4
tyburn,org.lunivore.tyburn,PropertyDrivenSpeed,4,8,1,1,0,2,1,1,0,1
tyburn,org.lunivore.tyburn,Speed,24,26,1,1,6,8,1,3,0,3
tyburn,org.lunivore.tyburn,ComponentFinderException,0,4,0,0,0,2,0,1,0,1
tyburn,org.lunivore.tyburn,NamedComponentFilter,0,22,0,4,0,5,0,4,0,2
tyburn,org.lunivore.tyburn,HeadlessChecker,0,17,0,2,0,5,0,4,0,3
tyburn,org.lunivore.tyburn,WindowControl,21,175,0,2,7,42,3,15,3,14
tyburn,org.lunivore.tyburn,TimeoutException,3,0,0,0,1,0,1,0,1,0
tyburn,org.lunivore.tyburn.threaded,ClockedTimeouter,0,33,0,2,0,8,0,5,0,4
tyburn,org.lunivore.tyburn.threaded,TimeoutException,0,3,0,0,0,1,0,1,0,1
tyburn,org.lunivore.tyburn.threaded,SystemClock,0,5,0,0,0,2,0,2,0,2
tyburn,org.lunivore.tyburn.threaded,ClockedTimeouterFactory,0,18,0,0,0,6,0,3,0,3
tyburn,org.lunivore.tyburn.threaded,QueuedObjectHolder,17,91,0,2,2,28,1,8,1,7
tyburn,org.lunivore.tyburn.threaded,QueuedMiniHashMap,19,103,0,2,3,29,2,8,2,7
tyburn,org.lunivore.tyburn.listeners,QueueingKeyAdapter,0,25,0,0,0,11,0,6,0,6
tyburn,org.lunivore.tyburn.actors,WindowGrabber,0,41,0,0,0,11,0,5,0,5
tyburn,org.lunivore.tyburn.actors,Focuser,0,22,0,2,0,8,0,3,0,2
tyburn,org.lunivore.tyburn.actors,Focuser.QueueingFocusListener,1,23,0,0,1,9,1,4,1,4
tyburn,org.lunivore.tyburn.actors,QueueingComponentListener,24,47,0,0,3,17,0,3,0,3
tyburn,org.lunivore.tyburn.actors,MouseClicker,5,72,0,0,0,14,0,2,0,2
tyburn,org.lunivore.tyburn.actors,WindowGrabber.WindowWatcher,0,45,0,4,0,12,0,6,0,4
tyburn,org.lunivore.tyburn.actors,ButtonClicker.QueueingButtonClicker,0,25,0,0,0,9,0,4,0,4
tyburn,org.lunivore.tyburn.actors,Idler.new Runnable() {...},0,4,0,0,0,1,0,2,0,2
tyburn,org.lunivore.tyburn.actors,ButtonClicker,5,31,0,0,0,11,0,2,0,2
tyburn,org.lunivore.tyburn.actors,Idler,1,12,0,0,0,6,0,3,0,3
tyburn,org.lunivore.tyburn.actors,MouseClicker.QueueingMouseClicker,2,26,0,0,2,11,2,6,2,6
tyburn,org.lunivore.tyburn.actors,CharacterTyper,26,197,4,10,4,45,4,11,0,8
