mutantNo;[FAIL | TIME | EXC | LIVE]
1;EXC
2;EXC
3;LIVE
4;EXC
5;EXC
6;EXC
7;EXC
8;LIVE
9;EXC
10;FAIL
11;EXC
12;EXC
13;FAIL
14;FAIL
15;EXC
16;LIVE
17;EXC
18;FAIL
19;FAIL
20;FAIL
21;FAIL
22;FAIL
23;TIME
24;EXC
25;FAIL
26;EXC
27;EXC
28;LIVE
29;LIVE
30;TIME
31;LIVE
32;LIVE
33;TIME
34;TIME
35;LIVE
37;LIVE
38;TIME
39;LIVE
40;TIME
41;LIVE
42;LIVE
43;FAIL
44;LIVE
45;FAIL
46;FAIL
47;FAIL
50;FAIL
51;FAIL
52;LIVE
53;EXC
56;FAIL
57;EXC
58;LIVE
59;TIME
60;FAIL
61;LIVE
62;TIME
63;FAIL
64;LIVE
65;FAIL
66;TIME
67;EXC
68;TIME
69;TIME
70;TIME
71;TIME
72;TIME
73;TIME
74;TIME
75;TIME
76;TIME
77;TIME
78;TIME
79;TIME
80;TIME
81;TIME
83;TIME
84;TIME
85;TIME
87;TIME
88;TIME
89;TIME
90;TIME
91;TIME
92;TIME
93;TIME
94;TIME
95;TIME
96;TIME
97;TIME
98;TIME
99;TIME
100;TIME
101;TIME
102;TIME
103;TIME
104;TIME
105;TIME
106;TIME
107;TIME
108;TIME
109;TIME
110;EXC
111;EXC
112;FAIL
114;TIME
115;TIME
116;TIME
117;TIME
118;TIME
119;TIME
120;TIME
121;TIME
122;TIME
123;TIME
124;TIME
125;TIME
126;TIME
127;TIME
128;TIME
129;TIME
130;TIME
131;TIME
132;TIME
133;TIME
134;TIME
135;TIME
136;TIME
137;TIME
138;TIME
139;FAIL
140;TIME
141;TIME
142;TIME
143;TIME
144;EXC
145;FAIL
146;TIME
147;TIME
148;FAIL
149;LIVE
150;FAIL
151;FAIL
152;EXC
153;EXC
154;EXC
155;FAIL
156;EXC
157;EXC
158;EXC
159;FAIL
160;EXC
161;LIVE
162;EXC
163;FAIL
164;FAIL
165;EXC
166;LIVE
167;EXC
168;FAIL
169;FAIL
170;FAIL
171;EXC
172;FAIL
173;EXC
174;EXC
175;LIVE
176;EXC
177;EXC
178;LIVE
179;FAIL
180;EXC
181;EXC
182;FAIL
183;FAIL
184;FAIL
185;EXC
186;FAIL
187;EXC
188;EXC
189;LIVE
190;EXC
191;EXC
192;LIVE
193;FAIL
194;EXC
195;EXC
196;FAIL
197;FAIL
198;FAIL
199;FAIL
200;FAIL
201;FAIL
202;FAIL
203;FAIL
204;FAIL
205;LIVE
206;FAIL
207;FAIL
208;TIME
209;TIME
210;TIME
211;TIME
212;TIME
213;TIME
214;EXC
215;TIME
216;EXC
217;TIME
218;TIME
219;EXC
220;TIME
221;EXC
222;EXC
223;FAIL
224;LIVE
225;EXC
226;FAIL
227;FAIL
228;LIVE
229;FAIL
