mutantNo;[FAIL | TIME | EXC | LIVE]
1;EXC
2;EXC
3;EXC
4;EXC
5;EXC
6;EXC
7;EXC
8;EXC
9;EXC
10;EXC
11;EXC
12;EXC
13;EXC
14;EXC
15;EXC
16;EXC
17;EXC
18;EXC
19;EXC
20;EXC
21;EXC
22;EXC
23;EXC
24;EXC
25;EXC
26;EXC
27;EXC
28;EXC
29;EXC
30;EXC
31;EXC
32;FAIL
33;FAIL
34;EXC
35;EXC
36;FAIL
37;EXC
38;FAIL
39;EXC
40;EXC
41;EXC
42;EXC
43;FAIL
44;EXC
45;EXC
46;FAIL
47;EXC
48;FAIL
49;EXC
50;EXC
51;EXC
52;EXC
53;EXC
54;EXC
55;FAIL
56;FAIL
57;EXC
58;LIVE
59;EXC
60;FAIL
61;FAIL
62;FAIL
63;LIVE
64;FAIL
65;FAIL
66;FAIL
67;EXC
68;LIVE
69;EXC
70;FAIL
71;FAIL
72;FAIL
73;FAIL
74;FAIL
75;FAIL
76;FAIL
77;FAIL
78;FAIL
79;FAIL
80;FAIL
81;FAIL
82;EXC
83;LIVE
84;EXC
85;FAIL
86;FAIL
87;FAIL
88;FAIL
89;LIVE
90;FAIL
91;FAIL
92;FAIL
93;FAIL
94;FAIL
95;FAIL
96;FAIL
97;FAIL
98;FAIL
99;FAIL
100;EXC
101;FAIL
102;FAIL
103;FAIL
104;FAIL
105;FAIL
106;LIVE
107;LIVE
108;EXC
109;FAIL
110;LIVE
111;FAIL
112;TIME
113;EXC
114;EXC
115;FAIL
116;FAIL
117;FAIL
118;FAIL
119;LIVE
120;LIVE
121;EXC
122;FAIL
123;LIVE
124;FAIL
125;TIME
126;EXC
127;EXC
128;FAIL
129;FAIL
130;FAIL
131;FAIL
132;FAIL
133;FAIL
134;FAIL
135;FAIL
136;FAIL
137;FAIL
138;FAIL
139;LIVE
140;LIVE
141;LIVE
142;LIVE
143;FAIL
144;LIVE
145;FAIL
146;FAIL
147;LIVE
148;LIVE
149;FAIL
150;FAIL
151;FAIL
152;LIVE
153;FAIL
154;LIVE
155;LIVE
156;FAIL
157;FAIL
158;FAIL
159;FAIL
160;FAIL
161;FAIL
162;LIVE
163;LIVE
164;LIVE
165;FAIL
166;LIVE
167;FAIL
168;LIVE
169;FAIL
170;FAIL
171;EXC
172;FAIL
173;FAIL
174;FAIL
175;FAIL
176;FAIL
177;FAIL
178;FAIL
179;FAIL
180;LIVE
181;FAIL
182;FAIL
183;FAIL
184;FAIL
185;FAIL
186;FAIL
187;FAIL
188;FAIL
189;FAIL
190;FAIL
191;FAIL
192;FAIL
193;FAIL
194;LIVE
195;LIVE
196;FAIL
197;FAIL
198;FAIL
199;FAIL
200;FAIL
201;FAIL
202;FAIL
203;FAIL
204;FAIL
205;FAIL
206;FAIL
207;LIVE
208;FAIL
209;FAIL
210;FAIL
211;FAIL
212;FAIL
213;FAIL
214;LIVE
215;LIVE
216;EXC
217;FAIL
218;FAIL
219;FAIL
220;FAIL
221;FAIL
222;LIVE
223;LIVE
224;FAIL
225;FAIL
226;FAIL
227;FAIL
228;FAIL
229;FAIL
230;FAIL
231;FAIL
232;FAIL
233;FAIL
234;FAIL
235;LIVE
236;FAIL
237;FAIL
238;FAIL
239;FAIL
240;FAIL
241;LIVE
242;FAIL
243;FAIL
244;EXC
245;FAIL
246;FAIL
247;EXC
248;FAIL
249;LIVE
250;FAIL
251;LIVE
252;FAIL
253;FAIL
254;FAIL
255;FAIL
256;FAIL
257;FAIL
258;FAIL
259;FAIL
260;EXC
261;FAIL
262;FAIL
263;EXC
264;FAIL
265;FAIL
266;FAIL
267;LIVE
268;FAIL
269;FAIL
270;FAIL
271;FAIL
272;FAIL
273;FAIL
274;LIVE
275;LIVE
276;EXC
277;FAIL
278;FAIL
279;EXC
280;FAIL
281;FAIL
282;LIVE
283;LIVE
284;FAIL
285;FAIL
