GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDatePrinter.TextField,58,87,38,20,0,14,27,5,0,3
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedMonthField,357,104,126,28,2,9,77,5,0,5
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDateParser.Strategy,9,10,4,2,1,2,4,2,1,2
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitMonthField,202,155,67,43,0,9,55,5,0,5
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDateFormat.new FormatCache() {...},0,10,0,0,0,2,0,2,0,2
commons-lang3-3.3.2,org.apache.commons.lang3.time,DurationFormatUtils,2624,2297,1267,648,10,205,907,67,0,13
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitNumberField,189,163,76,46,0,11,60,5,0,4
commons-lang3-3.3.2,org.apache.commons.lang3.time,DateFormatUtils,6,149,0,0,1,29,1,17,1,17
commons-lang3-3.3.2,org.apache.commons.lang3.time,DurationFormatUtils.Token,149,195,77,47,1,30,56,15,1,8
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDatePrinter.TwelveHourField,115,47,48,10,3,8,30,3,1,3
commons-lang3-3.3.2,org.apache.commons.lang3.time,FormatCache,122,244,73,43,5,37,51,16,0,9
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedNumberField,244,212,104,62,0,13,81,6,0,4
commons-lang3-3.3.2,org.apache.commons.lang3.time,StopWatch.State,9,49,0,0,0,5,2,2,2,2
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDateParser.TextStrategy,208,118,83,25,7,14,53,4,0,3
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDateParser.CopyQuotedStrategy,57,73,34,18,0,9,25,4,0,3
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDateParser,1283,1340,518,309,9,145,383,64,3,21
commons-lang3-3.3.2,org.apache.commons.lang3.time,FormatCache.MultipartKey,118,119,47,31,0,11,36,6,0,3
commons-lang3-3.3.2,org.apache.commons.lang3.time,FastDatePrinter.CharacterLiteral,14,27,9,5,0,6,7,3,0,3
