mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;LIVE
3;LIVE
4;LIVE
5;FAIL
6;LIVE
7;FAIL
8;FAIL
9;FAIL
10;FAIL
11;FAIL
12;FAIL
13;FAIL
14;LIVE
15;LIVE
16;FAIL
17;LIVE
18;LIVE
19;FAIL
20;EXC
21;FAIL
22;FAIL
23;FAIL
24;FAIL
25;EXC
26;EXC
27;LIVE
28;EXC
29;EXC
30;FAIL
31;LIVE
32;LIVE
34;FAIL
35;FAIL
36;FAIL
37;LIVE
38;LIVE
39;FAIL
40;LIVE
41;FAIL
42;LIVE
43;LIVE
46;FAIL
47;FAIL
48;FAIL
49;LIVE
50;FAIL
51;LIVE
52;FAIL
53;LIVE
54;FAIL
55;LIVE
56;FAIL
58;LIVE
59;FAIL
60;EXC
61;LIVE
62;FAIL
63;FAIL
64;FAIL
65;LIVE
66;FAIL
67;FAIL
68;FAIL
69;LIVE
70;FAIL
71;FAIL
72;FAIL
73;LIVE
74;FAIL
75;FAIL
76;FAIL
77;FAIL
78;FAIL
79;FAIL
80;FAIL
81;FAIL
82;FAIL
83;FAIL
84;FAIL
85;FAIL
86;EXC
87;FAIL
88;FAIL
89;FAIL
90;FAIL
91;FAIL
92;LIVE
94;LIVE
95;LIVE
96;LIVE
97;LIVE
98;LIVE
99;FAIL
100;FAIL
101;EXC
102;LIVE
103;EXC
104;LIVE
105;EXC
106;EXC
107;EXC
108;EXC
109;EXC
110;EXC
111;EXC
112;EXC
113;EXC
114;EXC
115;EXC
116;EXC
117;EXC
118;EXC
119;EXC
120;EXC
121;EXC
122;FAIL
123;EXC
124;FAIL
125;FAIL
126;LIVE
127;EXC
128;LIVE
129;EXC
130;LIVE
132;FAIL
133;EXC
134;EXC
135;EXC
136;EXC
137;EXC
138;EXC
139;EXC
140;EXC
141;EXC
142;EXC
143;EXC
144;EXC
145;EXC
146;EXC
147;EXC
148;EXC
149;EXC
150;EXC
151;LIVE
152;FAIL
153;EXC
154;EXC
155;EXC
156;LIVE
157;LIVE
158;FAIL
159;LIVE
160;LIVE
161;LIVE
162;EXC
163;LIVE
164;FAIL
165;FAIL
166;FAIL
167;FAIL
168;FAIL
169;FAIL
170;FAIL
171;FAIL
172;FAIL
173;FAIL
174;FAIL
175;FAIL
176;FAIL
177;FAIL
178;FAIL
179;LIVE
180;FAIL
181;FAIL
182;LIVE
183;FAIL
184;FAIL
185;FAIL
186;LIVE
187;FAIL
188;FAIL
189;LIVE
190;LIVE
191;FAIL
192;LIVE
193;FAIL
194;LIVE
195;LIVE
196;FAIL
197;LIVE
198;LIVE
199;LIVE
200;FAIL
201;LIVE
202;FAIL
203;LIVE
204;FAIL
205;FAIL
206;FAIL
207;FAIL
208;FAIL
209;FAIL
210;LIVE
211;FAIL
212;FAIL
213;FAIL
214;FAIL
215;FAIL
216;FAIL
217;LIVE
218;FAIL
219;FAIL
220;EXC
221;LIVE
222;EXC
223;FAIL
224;FAIL
