CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
45;org.apache.commons.math3.RetryRunnerTest$null;8;12;0;3;3;0;0;0;0;11708;3
111876;org.apache.commons.math3.analysis.FunctionUtilsTest$null;753;165;889;1147;1147;889;332;551;6;10819;1150
125477;org.apache.commons.math3.analysis.differentiation.DSCompilerTest$null;341;99;143;207;569;1032;408;618;6;10676;1357
15785033;org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest$null;72518;2558;2826;3445;4283;3858;2410;1434;14;7850;4802
15884511;org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiatorTest$null;1940;207;378;513;1225;4236;2683;1538;15;7472;5315
15902711;org.apache.commons.math3.analysis.differentiation.GradientFunctionTest$null;6708;271;13;70;648;4249;2687;1547;15;7459;5385
15908861;org.apache.commons.math3.analysis.differentiation.JacobianFunctionTest$null;277;93;17;73;626;4266;2693;1558;15;7442;5458
15913886;org.apache.commons.math3.analysis.function.GaussianTest$null;27;26;103;187;919;4369;2776;1577;16;7339;5645
15918152;org.apache.commons.math3.analysis.function.HarmonicOscillatorTest$null;25;21;111;181;743;4480;2855;1608;17;7228;5826
15931126;org.apache.commons.math3.analysis.function.LogisticTest$null;79;41;293;383;1043;4773;3104;1652;17;6935;6209
15937281;org.apache.commons.math3.analysis.function.LogitTest$null;47;33;120;197;869;4893;3182;1694;17;6815;6406
15939335;org.apache.commons.math3.analysis.function.SigmoidTest$null;25;23;9;75;768;4902;3187;1698;17;6806;6481
15992335;org.apache.commons.math3.analysis.function.SincTest$null;168;165;288;448;1009;5190;3443;1729;18;6518;6929
15993673;org.apache.commons.math3.analysis.function.SqrtTest$null;20;19;2;58;650;5192;3443;1730;19;6516;6987
15994899;org.apache.commons.math3.analysis.function.StepFunctionTest$null;13;14;56;83;83;5248;3458;1771;19;6460;7070
17874511;org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegratorTest$null;114785;1729;284;375;424;5532;3560;1946;26;6176;7445
17946741;org.apache.commons.math3.analysis.integration.LegendreGaussIntegratorTest$null;56086;595;485;538;589;6017;3776;2215;26;5691;7983
17949290;org.apache.commons.math3.analysis.integration.RombergIntegratorTest$null;12;12;150;189;200;6167;3815;2326;26;5541;8172
17950404;org.apache.commons.math3.analysis.integration.SimpsonIntegratorTest$null;12;12;43;79;165;6210;3831;2353;26;5498;8251
17951879;org.apache.commons.math3.analysis.integration.TrapezoidIntegratorTest$null;26;19;28;57;143;6238;3843;2369;26;5470;8308
17952149;org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactoryTest$null;26;27;0;9;19;6238;3843;2369;26;5470;8317
17974298;org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest$null;1263;814;4;34;208;6242;3845;2371;26;5466;8351
18131327;org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionTest$null;8328;4952;0;31;242;6242;3845;2371;26;5466;8382
18187449;org.apache.commons.math3.analysis.integration.gauss.LegendreParametricTest$null;757;199;255;315;365;6497;3998;2460;39;5211;8697
18257281;org.apache.commons.math3.analysis.integration.gauss.LegendreTest$null;5358;1116;0;61;399;6497;3998;2460;39;5211;8758
18284783;org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunctionTest$null;191;59;906;1019;1033;7403;4727;2637;39;4305;9777
18297645;org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatorTest$null;35;21;377;651;1441;7780;4932;2808;40;3928;10428
18299958;org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolatorTest$null;19;20;97;142;155;7877;4978;2859;40;3831;10570
18348786;org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolatorTest$null;1025;781;124;177;252;8001;5018;2943;40;3707;10747
18372081;org.apache.commons.math3.analysis.interpolation.HermiteInterpolatorTest$null;1129;145;186;296;975;8187;5122;3025;40;3521;11043
18373794;org.apache.commons.math3.analysis.interpolation.LinearInterpolatorTest$null;17;15;61;117;239;8248;5149;3059;40;3460;11160
18407651;org.apache.commons.math3.analysis.interpolation.LoessInterpolatorTest$null;549;133;323;397;414;8571;5401;3130;40;3137;11557
18425231;org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatorTest$null;517;161;46;111;111;8617;5432;3145;40;3091;11668
18428037;org.apache.commons.math3.analysis.interpolation.NevilleInterpolatorTest$null;20;19;98;157;173;8715;5484;3191;40;2993;11825
18448861;org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest$null;63;55;97;425;1607;8812;5506;3264;42;2896;12250
18451308;org.apache.commons.math3.analysis.interpolation.SplineInterpolatorTest$null;18;15;71;140;532;8883;5575;3266;42;2825;12390
18451724;org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunctionTest$null;22;21;0;15;32;8883;5575;3266;42;2825;12405
18467984;org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest$null;378;79;16;192;1535;8899;5591;3266;42;2809;12597
18469292;org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolatorTest$null;20;17;6;68;258;8905;5594;3269;42;2803;12665
18472507;org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeFormTest$null;15;13;159;205;324;9064;5696;3326;42;2644;12870
18475308;org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonFormTest$null;36;22;78;156;763;9142;5735;3365;42;2566;13026
