mutantNo;[FAIL | TIME | EXC | LIVE]
1;TIME
2;LIVE
3;FAIL
4;TIME
5;EXC
6;FAIL
7;FAIL
8;FAIL
9;FAIL
10;EXC
11;LIVE
12;EXC
13;FAIL
14;FAIL
15;FAIL
16;LIVE
17;FAIL
18;FAIL
19;EXC
20;EXC
21;EXC
22;EXC
23;EXC
24;EXC
25;EXC
26;EXC
27;LIVE
28;EXC
29;EXC
30;EXC
31;EXC
32;EXC
33;EXC
34;LIVE
35;EXC
36;EXC
37;EXC
38;EXC
39;EXC
40;EXC
41;LIVE
42;EXC
43;EXC
44;FAIL
45;EXC
46;EXC
47;LIVE
48;EXC
49;EXC
50;EXC
51;EXC
52;EXC
53;EXC
54;EXC
55;EXC
56;EXC
57;LIVE
58;EXC
59;EXC
60;EXC
61;EXC
62;EXC
63;FAIL
64;EXC
65;EXC
66;EXC
67;FAIL
68;EXC
69;FAIL
70;FAIL
71;EXC
83;EXC
84;EXC
85;FAIL
86;EXC
87;EXC
88;EXC
89;FAIL
90;EXC
91;FAIL
92;FAIL
93;EXC
119;FAIL
120;EXC
121;FAIL
122;EXC
123;LIVE
124;EXC
125;FAIL
126;FAIL
135;FAIL
136;EXC
137;FAIL
138;EXC
139;LIVE
140;EXC
141;FAIL
158;FAIL
159;EXC
160;FAIL
161;EXC
162;LIVE
163;EXC
164;FAIL
165;FAIL
174;FAIL
175;EXC
176;FAIL
177;EXC
178;LIVE
179;EXC
180;FAIL
206;FAIL
207;EXC
208;FAIL
209;EXC
210;LIVE
211;EXC
212;FAIL
213;EXC
214;FAIL
215;FAIL
216;EXC
217;EXC
218;LIVE
219;FAIL
220;LIVE
221;EXC
222;FAIL
223;FAIL
224;FAIL
225;FAIL
226;FAIL
227;FAIL
228;FAIL
229;FAIL
230;FAIL
231;EXC
232;LIVE
233;EXC
234;FAIL
235;FAIL
236;FAIL
237;FAIL
238;FAIL
239;FAIL
240;FAIL
241;FAIL
242;FAIL
243;EXC
244;EXC
245;EXC
246;EXC
247;EXC
248;EXC
249;FAIL
250;FAIL
253;EXC
254;EXC
255;EXC
256;EXC
257;EXC
258;EXC
259;FAIL
260;EXC
261;FAIL
262;EXC
263;LIVE
264;EXC
265;FAIL
266;FAIL
267;FAIL
268;FAIL
269;EXC
270;FAIL
271;FAIL
272;EXC
273;FAIL
274;FAIL
275;FAIL
276;FAIL
277;FAIL
278;EXC
279;LIVE
280;EXC
281;EXC
305;EXC
306;EXC
307;LIVE
308;EXC
309;EXC
310;EXC
311;EXC
312;FAIL
313;EXC
314;LIVE
315;EXC
316;FAIL
317;FAIL
318;FAIL
319;EXC
320;LIVE
321;LIVE
322;EXC
323;LIVE
324;EXC
328;EXC
329;EXC
330;LIVE
331;EXC
332;LIVE
333;LIVE
334;EXC
335;LIVE
336;EXC
337;LIVE
338;LIVE
339;LIVE
340;EXC
341;LIVE
342;LIVE
343;EXC
344;FAIL
345;EXC
346;LIVE
347;EXC
348;FAIL
349;EXC
350;EXC
351;EXC
352;EXC
353;EXC
354;EXC
355;FAIL
356;EXC
357;FAIL
358;EXC
359;LIVE
360;EXC
361;FAIL
362;FAIL
363;FAIL
364;FAIL
365;EXC
366;LIVE
367;EXC
368;FAIL
369;FAIL
370;EXC
371;FAIL
372;FAIL
373;EXC
374;FAIL
