CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
40;org.apache.commons.math3.RetryRunnerTest$null;9;11;0;3;3;0;0;0;0;11708;3
119731;org.apache.commons.math3.analysis.FunctionUtilsTest$null;829;168;889;1147;1147;889;332;551;6;10819;1150
128193;org.apache.commons.math3.analysis.differentiation.DSCompilerTest$null;388;98;143;207;569;1032;409;617;6;10676;1357
28230156;org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest$null;73183;2634;2827;3445;4283;3859;2411;1433;15;7849;4802
28390930;org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiatorTest$null;2065;236;378;512;1225;4237;2678;1543;16;7471;5314
28407569;org.apache.commons.math3.analysis.differentiation.GradientFunctionTest$null;7195;282;13;73;660;4250;2682;1552;16;7458;5387
28413395;org.apache.commons.math3.analysis.differentiation.JacobianFunctionTest$null;295;94;17;72;626;4267;2688;1563;16;7441;5459
28418905;org.apache.commons.math3.analysis.function.GaussianTest$null;28;27;104;186;919;4371;2771;1583;17;7337;5645
28422662;org.apache.commons.math3.analysis.function.HarmonicOscillatorTest$null;25;23;110;179;743;4481;2850;1614;17;7227;5824
28437355;org.apache.commons.math3.analysis.function.LogisticTest$null;83;42;293;383;1043;4774;3098;1659;17;6934;6207
28443610;org.apache.commons.math3.analysis.function.LogitTest$null;49;34;120;197;869;4894;3175;1702;17;6814;6404
28445694;org.apache.commons.math3.analysis.function.SigmoidTest$null;25;24;9;75;768;4903;3180;1706;17;6805;6479
28499389;org.apache.commons.math3.analysis.function.SincTest$null;163;169;288;448;1009;5191;3436;1737;18;6517;6927
28500511;org.apache.commons.math3.analysis.function.SqrtTest$null;20;18;1;58;650;5192;3436;1738;18;6516;6985
28501835;org.apache.commons.math3.analysis.function.StepFunctionTest$null;14;14;56;83;83;5248;3450;1780;18;6460;7068
39147453;org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegratorTest$null;120564;1683;284;375;424;5532;3551;1921;60;6176;7443
40538008;org.apache.commons.math3.analysis.integration.LegendreGaussIntegratorTest$null;57920;508;485;538;589;6017;3872;2076;69;5691;7981
40540967;org.apache.commons.math3.analysis.integration.RombergIntegratorTest$null;12;13;150;189;200;6167;3911;2187;69;5541;8170
40542248;org.apache.commons.math3.analysis.integration.SimpsonIntegratorTest$null;14;12;43;79;165;6210;3927;2214;69;5498;8249
40543759;org.apache.commons.math3.analysis.integration.TrapezoidIntegratorTest$null;27;19;28;57;143;6238;3939;2230;69;5470;8306
40544014;org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactoryTest$null;28;29;0;8;18;6238;3939;2230;69;5470;8314
40565382;org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest$null;1269;847;4;34;208;6242;3941;2232;69;5466;8348
40717560;org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionTest$null;8603;4939;0;31;242;6242;3941;2232;69;5466;8379
40775387;org.apache.commons.math3.analysis.integration.gauss.LegendreParametricTest$null;787;213;255;315;365;6497;4094;2321;82;5211;8694
40846132;org.apache.commons.math3.analysis.integration.gauss.LegendreTest$null;5582;1129;0;61;399;6497;4094;2321;82;5211;8755
40887048;org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunctionTest$null;221;60;906;1019;1033;7403;4830;2491;82;4305;9774
40900422;org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatorTest$null;35;21;377;651;1441;7780;5035;2662;83;3928;10425
40903384;org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolatorTest$null;20;20;97;142;155;7877;5082;2712;83;3831;10567
40995622;org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolatorTest$null;1040;811;124;177;252;8001;5124;2794;83;3707;10744
41022329;org.apache.commons.math3.analysis.interpolation.HermiteInterpolatorTest$null;1173;147;186;296;975;8187;5228;2876;83;3521;11040
41024118;org.apache.commons.math3.analysis.interpolation.LinearInterpolatorTest$null;17;15;61;117;239;8248;5255;2910;83;3460;11157
41044056;org.apache.commons.math3.analysis.interpolation.LoessInterpolatorTest$null;569;138;323;397;414;8571;5512;2976;83;3137;11554
41059170;org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatorTest$null;573;168;46;111;111;8617;5543;2991;83;3091;11665
41061762;org.apache.commons.math3.analysis.interpolation.NevilleInterpolatorTest$null;21;19;98;157;173;8715;5595;3037;83;2993;11822
41082347;org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest$null;65;56;97;425;1607;8812;5617;3110;85;2896;12247
41084746;org.apache.commons.math3.analysis.interpolation.SplineInterpolatorTest$null;19;16;71;140;532;8883;5686;3112;85;2825;12387
41085248;org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunctionTest$null;23;22;0;15;32;8883;5686;3112;85;2825;12402
41101687;org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest$null;397;88;16;192;1535;8899;5702;3112;85;2809;12594
41103095;org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolatorTest$null;22;19;6;68;258;8905;5705;3115;85;2803;12662
41105886;org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeFormTest$null;15;13;159;205;324;9064;5807;3171;86;2644;12867
41108567;org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonFormTest$null;38;23;78;157;763;9142;5846;3210;86;2566;13024
41109763;org.apache.commons.math3.analysis.polynomials.PolynomialFunctionTest$null;9;7;74;122;266;9216;5907;3223;86;2492;13146
41111073;org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunctionTest$null;14;12;24;76;245;9240;5917;3237;86;2468;13222
41220666;org.apache.commons.math3.analysis.polynomials.PolynomialsUtilsTest$null;88455;993;5;101;620;9245;5922;3237;86;2463;13323
41220744;org.apache.commons.math3.analysis.solvers.BisectionSolverTest$null;9;9;0;6;10;9245;5922;3237;86;2463;13329
41223315;org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolverTest$null;35;29;0;73;826;9245;5922;3237;86;2463;13402
