CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;org.jdom2.TestIllegalAddExceptn$null;31;37;0;0;0;0;0;0;0;0;0
0;org.jdom2.TestIllegalNameExceptn$null;17;2;0;0;0;0;0;0;0;0;0
0;org.jdom2.TestIllegalTargetExceptn$null;5;1;0;0;0;0;0;0;0;0;0
0;org.jdom2.TestStringBin$null;488;277;0;0;0;0;0;0;0;0;0
0;org.jdom2.input.sax.TestTextBuffer$null;12;9;0;0;0;0;0;0;0;0;0
1;org.jdom2.test.cases.TestAttribute$null;27;45;0;0;0;0;0;0;0;0;0
1;org.jdom2.test.cases.TestAttributeList$null;114;121;0;0;0;0;0;0;0;0;0
1;org.jdom2.test.cases.TestBridgeMethods$null;18;27;0;0;0;0;0;0;0;0;0
1;org.jdom2.test.cases.TestCDATA$null;15;22;0;0;0;0;0;0;0;0;0
1;org.jdom2.test.cases.TestComment$null;16;30;0;0;0;0;0;0;0;0;0
1;org.jdom2.test.cases.TestContentList$null;56;62;0;0;0;0;0;0;0;0;0
1;org.jdom2.test.cases.TestDefaultJDOMFactory$null;21;34;0;0;0;0;0;0;0;0;0
2;org.jdom2.test.cases.TestDescendantFilterIterator$null;14;14;0;0;0;0;0;0;0;0;0
2;org.jdom2.test.cases.TestDescendantIterator$null;14;20;0;0;0;0;0;0;0;0;0
2;org.jdom2.test.cases.TestDocType$null;21;24;0;0;0;0;0;0;0;0;0
2;org.jdom2.test.cases.TestDocument$null;32;45;0;0;0;0;0;0;0;0;0
2;org.jdom2.test.cases.TestElement$null;49;87;0;0;0;0;0;0;0;0;0
2;org.jdom2.test.cases.TestElementFilterList$null;76;60;0;0;0;0;0;0;0;0;0
3;org.jdom2.test.cases.TestEntityRef$null;18;10;0;0;0;0;0;0;0;0;0
3;org.jdom2.test.cases.TestFilterList$null;40;28;0;0;0;0;0;0;0;0;0
3;org.jdom2.test.cases.TestFilterListElement$null;129;157;0;0;0;0;0;0;0;0;0
3;org.jdom2.test.cases.TestFilterListText$null;120;135;0;0;0;0;0;0;0;0;0
3;org.jdom2.test.cases.TestJDOMExceptn$null;6;4;0;0;0;0;0;0;0;0;0
3;org.jdom2.test.cases.TestNamespace$null;13;10;0;0;0;0;0;0;0;0;0
3;org.jdom2.test.cases.TestNamespaceAware$null;27;25;0;0;0;0;0;0;0;0;0
4;org.jdom2.test.cases.TestProcessingInstruction$null;42;45;0;0;0;0;0;0;0;0;0
4;org.jdom2.test.cases.TestSerialization$null;36;36;0;0;0;0;0;0;0;0;0
4;org.jdom2.test.cases.TestSlimJDOMFactory$null;36;32;0;0;0;0;0;0;0;0;0
4;org.jdom2.test.cases.TestSlimJDOMFactoryNoText$null;29;32;0;0;0;0;0;0;0;0;0
4;org.jdom2.test.cases.TestText$null;18;20;0;0;0;0;0;0;0;0;0
4;org.jdom2.test.cases.TestUncheckedJDOMFactory$null;41;27;0;0;0;0;0;0;0;0;0
5;org.jdom2.test.cases.TestVerifier$null;29;18;0;0;0;0;0;0;0;0;0
5;org.jdom2.test.cases.TestVerifierCharacters$null;67;67;0;0;0;0;0;0;0;0;0
5;org.jdom2.test.cases.adapters.TestJAXPDOMAdapter$null;73;81;0;0;0;0;0;0;0;0;0
5;org.jdom2.test.cases.filter.TestAtributeFilter$null;46;62;0;0;0;0;0;0;0;0;0
5;org.jdom2.test.cases.filter.TestContentFilter$null;168;244;0;0;0;0;0;0;0;0;0
5;org.jdom2.test.cases.filter.TestElementFilter$null;118;119;0;0;0;0;0;0;0;0;0
5;org.jdom2.test.cases.filter.TestFilters$null;42;47;0;0;0;0;0;0;0;0;0
6;org.jdom2.test.cases.filter.TestPassThroughFilter$null;10;10;0;0;0;0;0;0;0;0;0
6;org.jdom2.test.cases.input.TestBuilderErrorHandler$null;4;1;0;0;0;0;0;0;0;0;0
6;org.jdom2.test.cases.input.TestDOMBuilder$null;209;317;0;0;0;0;0;0;0;0;0
6;org.jdom2.test.cases.input.TestDTDParser$null;12;18;0;0;0;0;0;0;0;0;0
6;org.jdom2.test.cases.input.TestJDOMParseExceptn$null;7;8;0;0;0;0;0;0;0;0;0
6;org.jdom2.test.cases.input.TestSAXBuilder$null;139;156;0;0;0;0;0;0;0;0;0
6;org.jdom2.test.cases.input.TestSAXComplexSchema$null;183;188;0;0;0;0;0;0;0;0;0
7;org.jdom2.test.cases.input.TestSAXHandler$null;38;37;0;0;0;0;0;0;0;0;0
