mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;EXC
3;EXC
4;FAIL
5;EXC
6;EXC
7;FAIL
8;EXC
9;FAIL
10;FAIL
11;FAIL
12;FAIL
13;EXC
14;LIVE
15;FAIL
16;EXC
17;EXC
18;FAIL
19;FAIL
20;EXC
21;FAIL
22;FAIL
23;FAIL
24;FAIL
25;FAIL
26;EXC
27;EXC
28;FAIL
29;EXC
30;FAIL
31;FAIL
32;FAIL
33;LIVE
34;FAIL
35;FAIL
36;FAIL
37;LIVE
38;FAIL
39;FAIL
40;FAIL
41;LIVE
42;FAIL
43;FAIL
44;FAIL
45;LIVE
46;FAIL
47;FAIL
48;FAIL
49;LIVE
50;FAIL
51;FAIL
52;FAIL
53;LIVE
54;FAIL
55;FAIL
56;FAIL
57;LIVE
58;EXC
59;FAIL
60;FAIL
61;EXC
62;FAIL
63;EXC
64;FAIL
65;EXC
66;LIVE
67;FAIL
68;FAIL
69;LIVE
70;LIVE
71;LIVE
72;LIVE
73;LIVE
74;LIVE
75;FAIL
76;FAIL
77;EXC
78;FAIL
79;EXC
80;EXC
81;FAIL
82;LIVE
83;LIVE
84;LIVE
85;LIVE
86;LIVE
87;LIVE
88;FAIL
89;FAIL
90;EXC
91;EXC
92;LIVE
93;EXC
94;LIVE
95;EXC
96;LIVE
97;LIVE
98;EXC
99;LIVE
100;FAIL
101;LIVE
102;EXC
103;LIVE
104;FAIL
105;EXC
106;LIVE
107;EXC
108;EXC
109;EXC
110;EXC
111;EXC
112;EXC
113;EXC
114;EXC
115;EXC
116;EXC
117;EXC
118;EXC
119;LIVE
120;EXC
121;EXC
122;FAIL
123;EXC
124;EXC
125;EXC
126;FAIL
127;EXC
128;FAIL
129;EXC
130;FAIL
131;EXC
132;FAIL
133;EXC
134;FAIL
135;FAIL
136;EXC
137;FAIL
138;EXC
139;EXC
140;FAIL
141;LIVE
142;FAIL
143;LIVE
144;LIVE
145;LIVE
146;LIVE
147;LIVE
148;LIVE
149;EXC
150;LIVE
151;EXC
152;FAIL
153;FAIL
154;LIVE
155;FAIL
156;FAIL
157;LIVE
158;FAIL
159;LIVE
160;EXC
161;FAIL
162;EXC
163;EXC
164;FAIL
165;EXC
166;EXC
167;FAIL
168;LIVE
169;FAIL
170;FAIL
171;EXC
172;LIVE
173;FAIL
174;EXC
175;FAIL
176;EXC
177;FAIL
178;EXC
179;EXC
180;EXC
181;FAIL
182;EXC
183;EXC
