GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jdom,org.jdom2.input.sax,XMLReaderXSDFactory,14,47,0,0,4,13,2,7,2,7
Jdom,org.jdom2.input.sax,XMLReaderSchemaFactory,0,12,0,0,0,4,0,2,0,2
Jdom,org.jdom2.input.sax,XMLReaderJAXPFactory,14,27,0,0,4,8,0,3,0,3
Jdom,org.jdom2.input.sax,TextBuffer,0,80,0,8,0,19,0,9,0,5
Jdom,org.jdom2.input.sax,XMLReaders,56,98,2,4,14,28,4,6,2,4
Jdom,org.jdom2.input.sax,DefaultSAXHandlerFactory,0,8,0,0,0,3,0,2,0,2
Jdom,org.jdom2.input.sax,XMLReaderSAX2Factory,0,51,0,2,0,15,0,6,0,5
Jdom,org.jdom2.input.sax,BuilderErrorHandler,0,8,0,0,0,4,0,4,0,4
Jdom,org.jdom2.input.sax,SAXBuilderEngine,45,164,2,2,5,35,2,18,0,18
Jdom,org.jdom2.input.sax,XMLReaderXSDFactory.new AbstractReaderXSDFactory.SchemaFactoryProvider() {...},0,6,0,0,0,2,0,2,0,2
Jdom,org.jdom2.input.sax,AbstractReaderSchemaFactory,28,38,2,4,5,12,2,4,0,3
Jdom,org.jdom2.input.sax,DefaultSAXHandlerFactory.DefaultSAXHandler,0,4,0,0,0,2,0,1,0,1
Jdom,org.jdom2.input.sax,SAXHandler,0,1300,6,180,0,304,6,128,0,41
Jdom,org.jdom2.input.sax,AbstractReaderXSDFactory,66,253,5,35,11,54,6,23,1,8
Jdom,org.jdom2.util,NamespaceStack.BackwardWalker,0,46,0,4,0,10,0,6,0,4
Jdom,org.jdom2.util,NamespaceStack.NamespaceIterable,0,24,0,2,0,5,0,3,0,2
Jdom,org.jdom2.util,NamespaceStack,101,763,15,75,18,143,12,53,1,19
Jdom,org.jdom2.util,JDOMNamespaceContext,0,227,0,40,0,44,0,24,0,4
Jdom,org.jdom2.util,NamespaceStack.ForwardWalker,0,46,0,4,0,9,0,6,0,4
Jdom,org.jdom2.util,NamespaceStack.EmptyIterable,0,17,0,0,0,5,0,5,0,5
Jdom,org.jdom2.util,NamespaceStack.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
Jdom,org.jdom2.filter,AndFilter,0,103,0,18,0,18,0,14,0,5
Jdom,org.jdom2.filter,ContentFilter,2,284,1,53,1,72,1,44,0,18
Jdom,org.jdom2.filter,ElementFilter,0,164,0,36,0,33,0,26,0,8
Jdom,org.jdom2.filter,NegateFilter,0,55,0,6,0,14,0,9,0,6
Jdom,org.jdom2.filter,OrFilter,0,104,4,16,0,18,4,11,0,5
Jdom,org.jdom2.filter,TextOnlyFilter,0,24,0,4,0,8,0,6,0,4
Jdom,org.jdom2.filter,Filters,3,142,0,0,2,37,1,23,1,23
Jdom,org.jdom2.filter,AbstractFilter,0,114,0,20,0,29,0,17,0,7
Jdom,org.jdom2.filter,PassThroughFilter,0,37,0,8,0,10,0,7,0,3
Jdom,org.jdom2.filter,ClassFilter,0,52,0,6,0,11,0,8,0,5
Jdom,org.jdom2.filter,AttributeFilter,0,142,0,34,0,31,0,24,0,7
Jdom,org.jdom2.xpath.util,AbstractXPathCompiled,7,623,0,64,2,105,0,47,0,15
