CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
103281;org.jdom2.TestIllegalAddExceptn$null;94;52;125;2838;2838;125;0;124;1;9539;2838
103282;org.jdom2.TestIllegalNameExceptn$null;5;5;0;0;0;125;0;124;1;9539;2838
103282;org.jdom2.TestIllegalTargetExceptn$null;5;4;0;0;0;125;0;124;1;9539;2838
305751;org.jdom2.TestStringBin$null;3082;335;254;320;320;379;124;232;23;9285;3158
359596;org.jdom2.input.sax.TestTextBuffer$null;46;20;34;2534;2573;413;140;250;23;9251;5692
462229;org.jdom2.test.cases.TestAttribute$null;56;47;137;2810;2897;550;211;313;26;9114;8502
779724;org.jdom2.test.cases.TestAttributeList$null;240;122;221;2855;3029;771;309;434;28;8893;11357
854238;org.jdom2.test.cases.TestBridgeMethods$null;41;30;4;2512;2664;775;309;438;28;8889;13869
928472;org.jdom2.test.cases.TestCDATA$null;47;25;35;2568;2695;810;326;456;28;8854;16437
1013289;org.jdom2.test.cases.TestComment$null;48;36;10;2557;2709;820;336;456;28;8844;18994
1247389;org.jdom2.test.cases.TestContentList$null;157;88;185;2764;2927;1005;457;511;37;8659;21758
1352986;org.jdom2.test.cases.TestDefaultJDOMFactory$null;56;37;98;2862;3198;1103;505;560;38;8561;24620
1428414;org.jdom2.test.cases.TestDescendantFilterIterator$null;47;25;35;2567;2772;1138;516;584;38;8526;27187
1510054;org.jdom2.test.cases.TestDescendantIterator$null;50;25;11;2535;2765;1149;521;590;38;8515;29722
1599869;org.jdom2.test.cases.TestDocType$null;52;37;57;2618;2814;1206;564;604;38;8458;32340
1763813;org.jdom2.test.cases.TestDocument$null;69;53;261;3168;3646;1467;707;712;48;8197;35508
2042105;org.jdom2.test.cases.TestElement$null;94;85;571;3674;4502;2038;1002;923;113;7626;39182
