mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;EXC
3;EXC
4;FAIL
5;EXC
6;EXC
7;FAIL
8;EXC
9;FAIL
10;FAIL
11;FAIL
12;FAIL
13;EXC
14;EXC
15;FAIL
16;EXC
17;EXC
18;FAIL
19;FAIL
20;EXC
21;FAIL
22;FAIL
23;FAIL
24;FAIL
25;FAIL
26;EXC
27;EXC
28;FAIL
29;EXC
30;FAIL
31;FAIL
32;FAIL
33;LIVE
34;FAIL
35;FAIL
36;FAIL
37;LIVE
38;FAIL
39;FAIL
40;FAIL
41;LIVE
42;FAIL
43;FAIL
44;FAIL
45;LIVE
46;FAIL
47;FAIL
48;FAIL
49;LIVE
50;FAIL
51;FAIL
52;FAIL
53;LIVE
54;FAIL
55;FAIL
56;FAIL
57;EXC
58;EXC
59;EXC
60;EXC
61;EXC
62;EXC
63;EXC
64;EXC
65;EXC
66;EXC
67;EXC
68;EXC
69;EXC
70;EXC
71;EXC
72;EXC
73;EXC
74;EXC
75;EXC
76;EXC
77;EXC
78;FAIL
79;EXC
80;EXC
81;FAIL
82;LIVE
83;LIVE
84;LIVE
85;LIVE
86;LIVE
87;LIVE
88;FAIL
89;FAIL
90;EXC
91;EXC
92;EXC
93;EXC
94;EXC
95;EXC
96;EXC
97;EXC
98;EXC
99;EXC
100;EXC
101;EXC
102;EXC
103;EXC
104;EXC
105;EXC
106;EXC
107;EXC
108;EXC
109;EXC
110;EXC
111;EXC
112;EXC
113;EXC
114;EXC
115;EXC
116;EXC
117;EXC
118;EXC
119;EXC
120;EXC
121;EXC
122;EXC
123;EXC
124;EXC
125;EXC
126;EXC
127;EXC
128;EXC
129;EXC
130;EXC
131;EXC
132;FAIL
133;EXC
134;EXC
135;EXC
136;EXC
137;EXC
138;EXC
139;EXC
140;EXC
141;EXC
142;EXC
143;EXC
144;EXC
145;EXC
146;EXC
147;EXC
148;EXC
149;EXC
150;EXC
151;EXC
152;EXC
153;EXC
154;EXC
155;EXC
156;EXC
157;EXC
158;EXC
159;EXC
160;EXC
161;EXC
162;EXC
163;EXC
164;EXC
165;EXC
166;EXC
167;EXC
168;EXC
169;EXC
170;EXC
171;EXC
172;EXC
173;EXC
174;EXC
175;EXC
176;EXC
177;EXC
178;EXC
179;EXC
180;FAIL
181;EXC
182;EXC
183;EXC
184;EXC
185;EXC
186;EXC
187;EXC
188;EXC
189;EXC
190;EXC
191;EXC
192;EXC
193;EXC
