GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jfreechart-1.0.17,org.jfree.data.io,CSV,212,0,20,0,53,0,16,0,6,0
jfreechart-1.0.17,org.jfree.data.xml,ValueHandler,100,0,8,0,27,0,10,0,6,0
jfreechart-1.0.17,org.jfree.data.xml,ItemHandler,112,0,8,0,32,0,11,0,7,0
jfreechart-1.0.17,org.jfree.data.xml,KeyHandler,96,0,6,0,21,0,9,0,6,0
jfreechart-1.0.17,org.jfree.data.xml,CategoryDatasetHandler,85,0,8,0,22,0,9,0,5,0
jfreechart-1.0.17,org.jfree.data.xml,PieDatasetHandler,72,0,8,0,20,0,9,0,5,0
jfreechart-1.0.17,org.jfree.data.xml,CategorySeriesHandler,114,0,8,0,30,0,9,0,5,0
jfreechart-1.0.17,org.jfree.data.xml,RootHandler,54,0,8,0,18,0,10,0,6,0
jfreechart-1.0.17,org.jfree.data.xml,DatasetReader,83,0,0,0,29,0,5,0,5,0
jfreechart-1.0.17,org.jfree.data.gantt,SlidingGanttCategoryDataset,459,88,32,12,75,29,46,9,27,6
jfreechart-1.0.17,org.jfree.data.gantt,Task,2,136,1,11,1,43,1,20,0,15
jfreechart-1.0.17,org.jfree.data.gantt,TaskSeries,22,96,2,10,7,30,5,11,3,7
jfreechart-1.0.17,org.jfree.data.gantt,XYTaskDataset,234,84,15,9,51,29,32,10,23,7
jfreechart-1.0.17,org.jfree.data.gantt,TaskSeriesCollection,53,599,11,49,18,161,13,54,4,33
jfreechart-1.0.17,org.jfree.chart.servlet,DisplayChart,104,0,20,0,28,0,13,0,3,0
jfreechart-1.0.17,org.jfree.chart.servlet,ServletUtilities,341,0,34,0,92,0,33,0,16,0
jfreechart-1.0.17,org.jfree.chart.servlet,ChartDeleter,46,0,4,0,15,0,7,0,5,0
jfreechart-1.0.17,org.jfree.chart.panel,CrosshairOverlay,871,84,141,5,217,25,87,6,15,5
jfreechart-1.0.17,org.jfree.chart.panel,AbstractOverlay,33,29,3,1,8,9,4,3,2,3
jfreechart-1.0.17,org.jfree.chart.editor,DefaultPlotEditor,986,0,110,0,235,0,73,0,18,0
jfreechart-1.0.17,org.jfree.chart.editor,ChartEditorManager,20,0,0,0,8,0,5,0,5,0
jfreechart-1.0.17,org.jfree.chart.editor,PaletteChooserPanel,40,0,0,0,9,0,2,0,2,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultAxisEditor,591,0,22,0,112,0,29,0,18,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultChartEditor,422,0,6,0,84,0,12,0,9,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultChartEditorFactory,8,0,0,0,3,0,2,0,2,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultTitleEditor,391,0,22,0,84,0,22,0,11,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultLogAxisEditor,156,0,12,0,42,0,13,0,7,0
jfreechart-1.0.17,org.jfree.chart.editor,PaletteSample,126,0,4,0,32,0,8,0,6,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultColorBarEditor,290,0,10,0,59,0,11,0,6,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultPolarPlotEditor,241,0,12,0,59,0,15,0,9,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultNumberAxisEditor,199,0,12,0,50,0,13,0,7,0
jfreechart-1.0.17,org.jfree.chart.editor,DefaultValueAxisEditor,546,0,32,0,124,0,36,0,20,0
jfreechart-1.0.17,org.jfree.data.xy,XIntervalSeriesCollection,166,94,7,9,36,26,18,10,13,7
jfreechart-1.0.17,org.jfree.data.xy,DefaultTableXYDataset,120,542,21,53,28,141,25,48,9,27
jfreechart-1.0.17,org.jfree.data.xy,MatrixSeriesCollection,169,57,18,4,41,19,22,5,11,5
jfreechart-1.0.17,org.jfree.data.xy,OHLCDataItem,24,105,6,10,9,26,9,8,3,6
jfreechart-1.0.17,org.jfree.data.xy,AbstractXYZDataset,14,3,2,0,5,1,2,1,1,1
jfreechart-1.0.17,org.jfree.data.xy,XIntervalSeries,0,59,0,0,0,15,0,8,0,8
jfreechart-1.0.17,org.jfree.data.xy,NormalizedMatrixSeries,72,0,0,0,19,0,6,0,6,0
jfreechart-1.0.17,org.jfree.data.xy,IntervalXYDelegate,62,293,11,31,12,80,15,28,4,18
jfreechart-1.0.17,org.jfree.data.xy,VectorSeries,16,53,0,0,4,14,2,7,2,7
jfreechart-1.0.17,org.jfree.data.xy,DefaultXYZDataset,105,330,12,26,23,64,18,18,7,10
jfreechart-1.0.17,org.jfree.data.xy,DefaultIntervalXYDataset,91,492,15,33,19,91,22,22,7,13
jfreechart-1.0.17,org.jfree.data.xy,XYIntervalSeries,0,77,0,0,0,19,0,10,0,10
jfreechart-1.0.17,org.jfree.data.xy,WindDataItem,26,65,7,9,10,18,10,4,3,3
jfreechart-1.0.17,org.jfree.data.xy,XYSeriesCollection,103,602,22,68,30,160,19,63,3,34
jfreechart-1.0.17,org.jfree.data.xy,VectorSeriesCollection,130,89,5,7,28,26,14,10,10,8
jfreechart-1.0.17,org.jfree.data.xy,XYDataItem,35,133,5,13,9,40,7,15,2,11
jfreechart-1.0.17,org.jfree.data.xy,YIntervalSeries,0,59,0,0,0,15,0,8,0,8
jfreechart-1.0.17,org.jfree.data.xy,MatrixSeries,10,151,2,16,3,35,3,17,1,10
jfreechart-1.0.17,org.jfree.data.xy,XYIntervalDataItem,10,64,5,5,5,18,5,7,0,7
jfreechart-1.0.17,org.jfree.data.xy,XYBarDataset,100,110,8,6,23,27,16,13,10,12
jfreechart-1.0.17,org.jfree.data.xy,AbstractXYDataset,0,33,1,3,0,12,1,5,0,4
jfreechart-1.0.17,org.jfree.data.xy,YIntervalSeriesCollection,94,150,6,10,21,37,11,17,7,13
jfreechart-1.0.17,org.jfree.data.xy,Vector,26,73,2,6,5,19,5,6,3,4
jfreechart-1.0.17,org.jfree.data.xy,DefaultXYDataset,80,292,10,24,18,59,13,19,4,11
jfreechart-1.0.17,org.jfree.data.xy,YIntervalDataItem,6,44,3,3,3,12,3,5,0,5
jfreechart-1.0.17,org.jfree.data.xy,YInterval,4,56,2,8,2,18,2,8,0,5
jfreechart-1.0.17,org.jfree.data.xy,CategoryTableXYDataset,70,163,6,6,19,43,14,19,10,17
jfreechart-1.0.17,org.jfree.data.xy,XYInterval,4,84,2,12,2,26,2,12,0,7
jfreechart-1.0.17,org.jfree.data.xy,XYCoordinate,72,75,11,7,17,20,10,7,4,4
jfreechart-1.0.17,org.jfree.data.xy,XYDatasetTableModel,99,0,14,0,32,0,17,0,10,0
jfreechart-1.0.17,org.jfree.data.xy,VectorDataItem,24,29,3,1,8,7,5,3,3,3
jfreechart-1.0.17,org.jfree.data.xy,XIntervalDataItem,6,44,3,3,3,12,3,5,0,5
jfreechart-1.0.17,org.jfree.data.xy,DefaultHighLowDataset,127,125,12,18,38,33,23,11,16,3
jfreechart-1.0.17,org.jfree.data.xy,YWithXInterval,4,56,2,8,2,18,2,8,0,5
jfreechart-1.0.17,org.jfree.data.xy,XYIntervalSeriesCollection,96,180,7,11,19,43,12,19,7,15
jfreechart-1.0.17,org.jfree.data.xy,DefaultOHLCDataset,75,121,10,8,22,34,15,14,8,12
jfreechart-1.0.17,org.jfree.data.xy,AbstractIntervalXYDataset,0,59,2,6,0,21,2,7,0,5
jfreechart-1.0.17,org.jfree.data.xy,DefaultWindDataset,109,199,12,18,25,42,15,13,6,7
jfreechart-1.0.17,org.jfree.data.xy,XYSeries,111,894,23,101,28,229,26,82,5,41
jfreechart-1.0.17,org.jfree.chart.labels,StandardCategorySeriesLabelGenerator,2,71,1,5,1,23,1,9,0,7
jfreechart-1.0.17,org.jfree.chart.labels,StandardCategoryToolTipGenerator,8,27,1,3,2,10,2,5,1,4
jfreechart-1.0.17,org.jfree.chart.labels,ItemLabelAnchor,62,274,22,34,21,68,22,11,0,5
jfreechart-1.0.17,org.jfree.chart.labels,StandardXYZToolTipGenerator,113,64,8,8,25,20,10,7,5,4
jfreechart-1.0.17,org.jfree.chart.labels,CustomXYToolTipGenerator,18,126,14,14,4,33,13,9,1,7
jfreechart-1.0.17,org.jfree.chart.labels,StandardCrosshairLabelGenerator,38,49,4,8,9,17,7,6,3,4
jfreechart-1.0.17,org.jfree.chart.labels,StandardXYToolTipGenerator,14,46,1,3,4,14,3,8,2,7
