mutantNo;[FAIL | TIME | EXC | LIVE]
1;TIME
2;EXC
3;TIME
4;EXC
5;TIME
6;EXC
7;TIME
8;EXC
9;TIME
10;EXC
11;TIME
12;EXC
13;TIME
14;EXC
15;TIME
16;EXC
17;TIME
18;EXC
19;LIVE
20;EXC
21;LIVE
22;EXC
23;TIME
24;EXC
25;LIVE
26;EXC
27;LIVE
28;EXC
29;LIVE
30;EXC
31;LIVE
32;EXC
33;LIVE
34;EXC
35;LIVE
36;EXC
37;LIVE
38;EXC
39;LIVE
40;EXC
41;LIVE
42;EXC
43;LIVE
44;EXC
45;LIVE
46;EXC
47;LIVE
48;EXC
49;LIVE
50;EXC
51;LIVE
52;EXC
53;LIVE
54;EXC
55;TIME
56;EXC
57;LIVE
58;EXC
59;TIME
60;EXC
61;LIVE
62;EXC
63;LIVE
64;EXC
65;LIVE
66;EXC
67;LIVE
68;EXC
69;LIVE
70;EXC
71;TIME
72;EXC
73;LIVE
74;EXC
75;LIVE
76;EXC
77;LIVE
78;EXC
79;LIVE
80;EXC
81;LIVE
82;EXC
83;LIVE
84;EXC
85;LIVE
86;EXC
87;LIVE
88;EXC
89;LIVE
90;EXC
91;LIVE
92;EXC
93;LIVE
94;EXC
95;TIME
96;EXC
97;TIME
98;EXC
99;LIVE
100;EXC
101;LIVE
102;EXC
103;LIVE
104;EXC
105;LIVE
106;EXC
107;LIVE
108;EXC
109;LIVE
110;EXC
111;LIVE
112;EXC
113;LIVE
114;EXC
115;LIVE
116;EXC
117;LIVE
118;EXC
119;LIVE
120;EXC
121;TIME
122;EXC
123;TIME
124;EXC
125;LIVE
126;EXC
127;LIVE
128;EXC
129;LIVE
130;EXC
131;LIVE
132;EXC
133;LIVE
134;EXC
135;LIVE
136;EXC
137;LIVE
138;EXC
139;LIVE
140;EXC
141;LIVE
142;EXC
143;LIVE
144;EXC
145;LIVE
146;EXC
147;LIVE
148;EXC
149;LIVE
150;EXC
151;TIME
152;EXC
153;LIVE
154;EXC
155;TIME
156;EXC
157;LIVE
158;EXC
159;LIVE
160;EXC
161;LIVE
162;EXC
163;LIVE
164;EXC
165;LIVE
166;EXC
167;LIVE
168;EXC
169;LIVE
170;EXC
171;LIVE
172;EXC
173;LIVE
174;EXC
175;LIVE
176;EXC
177;LIVE
178;EXC
179;LIVE
180;EXC
202;FAIL
203;LIVE
204;LIVE
205;LIVE
206;LIVE
207;LIVE
208;LIVE
209;LIVE
210;LIVE
211;LIVE
212;LIVE
213;LIVE
214;LIVE
215;LIVE
216;LIVE
217;LIVE
218;LIVE
219;LIVE
220;LIVE
221;LIVE
495;LIVE
496;LIVE
497;LIVE
498;LIVE
499;LIVE
500;LIVE
501;LIVE
502;LIVE
503;LIVE
504;LIVE
505;LIVE
506;LIVE
507;LIVE
508;LIVE
509;LIVE
511;LIVE
512;LIVE
513;LIVE
532;LIVE
533;LIVE
534;LIVE
535;LIVE
536;LIVE
537;LIVE
538;LIVE
539;LIVE
540;LIVE
541;LIVE
542;LIVE
543;LIVE
544;LIVE
545;LIVE
546;LIVE
547;LIVE
548;LIVE
549;LIVE
553;LIVE
554;LIVE
555;LIVE
556;LIVE
557;LIVE
558;LIVE
559;LIVE
560;LIVE
561;LIVE
565;LIVE
566;LIVE
567;LIVE
568;LIVE
569;LIVE
570;LIVE
571;LIVE
572;LIVE
573;LIVE
574;LIVE
575;LIVE
576;LIVE
577;LIVE
578;LIVE
579;LIVE
583;LIVE
584;LIVE
585;LIVE
586;LIVE
587;LIVE
588;LIVE
589;LIVE
590;LIVE
591;LIVE
592;LIVE
593;LIVE
597;LIVE
598;LIVE
599;LIVE
600;LIVE
601;LIVE
602;LIVE
603;LIVE
604;LIVE
605;LIVE
606;LIVE
607;LIVE
608;LIVE
612;LIVE
613;LIVE
614;LIVE
615;LIVE
616;LIVE
617;LIVE
618;LIVE
619;LIVE
620;LIVE
621;LIVE
622;LIVE
623;LIVE
624;LIVE
625;LIVE
626;LIVE
627;LIVE
628;LIVE
629;LIVE
630;LIVE
631;LIVE
632;LIVE
634;TIME
635;LIVE
636;LIVE
637;LIVE
638;LIVE
639;LIVE
640;LIVE
641;LIVE
642;LIVE
643;LIVE
644;LIVE
646;LIVE
647;LIVE
648;LIVE
649;LIVE
653;LIVE
654;LIVE
655;LIVE
656;LIVE
657;LIVE
658;LIVE
659;LIVE
660;LIVE
661;LIVE
662;LIVE
663;LIVE
664;LIVE
665;LIVE
666;LIVE
667;LIVE
668;LIVE
669;TIME
670;LIVE
671;LIVE
672;LIVE
678;LIVE
679;LIVE
680;LIVE
681;LIVE
682;LIVE
683;LIVE
684;LIVE
685;LIVE
686;LIVE
687;LIVE
688;LIVE
689;LIVE
690;LIVE
691;LIVE
709;LIVE
710;LIVE
711;LIVE
712;LIVE
713;FAIL
714;FAIL
715;LIVE
716;LIVE
717;LIVE
718;LIVE
719;LIVE
720;LIVE
721;LIVE
722;LIVE
723;LIVE
724;LIVE
725;EXC
726;LIVE
727;LIVE
728;LIVE
729;LIVE
730;LIVE
731;LIVE
732;LIVE
733;LIVE
734;LIVE
735;EXC
736;LIVE
737;LIVE
738;LIVE
739;LIVE
740;LIVE
742;LIVE
743;LIVE
744;LIVE
745;LIVE
746;LIVE
747;LIVE
748;LIVE
749;LIVE
750;LIVE
751;LIVE
752;LIVE
753;LIVE
754;LIVE
755;LIVE
756;LIVE
757;LIVE
758;LIVE
759;LIVE
760;EXC
761;LIVE
765;LIVE
766;LIVE
767;LIVE
768;FAIL
769;FAIL
770;LIVE
771;FAIL
772;TIME
773;LIVE
774;LIVE
775;LIVE
776;LIVE
777;LIVE
778;LIVE
779;LIVE
780;LIVE
781;LIVE
782;LIVE
783;LIVE
784;LIVE
785;LIVE
786;LIVE
787;LIVE
788;LIVE
789;LIVE
790;LIVE
791;LIVE
792;LIVE
793;LIVE
794;LIVE
796;LIVE
797;LIVE
798;LIVE
802;LIVE
803;LIVE
804;LIVE
805;LIVE
806;LIVE
807;LIVE
808;EXC
809;LIVE
810;LIVE
811;LIVE
812;LIVE
813;LIVE
814;LIVE
815;LIVE
816;LIVE
817;LIVE
818;LIVE
819;LIVE
820;LIVE
821;LIVE
822;LIVE
823;LIVE
824;LIVE
825;EXC
826;LIVE
827;LIVE
828;LIVE
829;LIVE
830;LIVE
831;LIVE
832;LIVE
833;LIVE
834;LIVE
835;LIVE
836;LIVE
837;LIVE
838;LIVE
839;LIVE
840;LIVE
841;LIVE
842;LIVE
843;LIVE
844;LIVE
845;LIVE
846;LIVE
847;LIVE
848;LIVE
849;LIVE
850;LIVE
851;EXC
852;LIVE
896;LIVE
