CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
394063;org.jfree.chart.AreaChartTest$null;1411;6522;510;3018;3018;510;209;295;6;35137;3018
720627;org.jfree.chart.BarChart3DTest$null;156;199;12;2577;3083;522;221;295;6;35125;5595
1044465;org.jfree.chart.BarChartTest$null;135;158;3;2548;3061;525;221;295;9;35122;8143
1283438;org.jfree.chart.ChartPanelTest$null;890;269;134;1852;2093;659;264;386;9;34988;9995
1283659;org.jfree.chart.ChartRenderingInfoTest$null;18;24;19;30;30;678;274;395;9;34969;10025
1897375;org.jfree.chart.GanttChartTest$null;201;291;382;3842;4295;1060;285;728;47;34587;13867
1897440;org.jfree.chart.HashUtilitiesTest$null;3;1;7;24;24;1067;290;730;47;34580;13891
2551915;org.jfree.chart.JFreeChartTest$null;202;433;843;3476;4104;1910;683;1026;201;33737;17367
2552451;org.jfree.chart.LegendItemCollectionTest$null;8;10;29;56;58;1939;701;1037;201;33708;17423
2553190;org.jfree.chart.LegendItemTest$null;9;10;21;71;99;1960;717;1042;201;33687;17494
2869386;org.jfree.chart.LineChart3DTest$null;96;113;47;2426;3111;2007;717;1068;222;33640;19920
3172019;org.jfree.chart.LineChartTest$null;117;125;7;2373;3102;2014;717;1068;229;33633;22293
3246654;org.jfree.chart.MeterChartTest$null;49;46;27;1401;1637;2041;717;1082;242;33606;23694
3246794;org.jfree.chart.PaintMapTest$null;7;5;12;18;24;2053;727;1084;242;33594;23712
3524416;org.jfree.chart.PieChart3DTest$null;111;113;89;2374;2758;2142;729;1159;254;33505;26086
3572153;org.jfree.chart.PieChartTest$null;81;83;2;579;866;2144;729;1159;256;33503;26665
3900631;org.jfree.chart.ScatterPlotTest$null;132;170;138;2501;3127;2282;812;1203;267;33365;29166
4195975;org.jfree.chart.StackedAreaChartTest$null;127;109;36;2287;3017;2318;831;1207;280;33329;31453
4481665;org.jfree.chart.StackedBarChart3DTest$null;131;125;15;2278;3055;2333;833;1207;293;33314;33731
4755411;org.jfree.chart.StackedBarChartTest$null;129;149;15;2261;3050;2348;835;1207;306;33299;35992
4780213;org.jfree.chart.StandardChartThemeTest$null;58;72;73;409;635;2421;879;1230;312;33226;36401
4780294;org.jfree.chart.StrokeMapTest$null;6;7;12;18;24;2433;887;1234;312;33214;36419
5125284;org.jfree.chart.TimeSeriesChartTest$null;135;160;26;2527;3537;2459;897;1236;326;33188;38946
5435161;org.jfree.chart.WaterfallChartTest$null;124;149;65;2424;3197;2524;897;1287;340;33123;41370
5743176;org.jfree.chart.XYAreaChartTest$null;138;151;12;2299;3094;2536;900;1289;347;33111;43669
6045213;org.jfree.chart.XYBarChartTest$null;130;151;27;2304;3093;2563;906;1295;362;33084;45973
6335294;org.jfree.chart.XYLineChartTest$null;133;154;11;2221;3042;2574;906;1295;373;33073;48194
6627439;org.jfree.chart.XYStepAreaChartTest$null;137;151;15;2272;3111;2589;908;1296;385;33058;50466
6997510;org.jfree.chart.XYStepChartTest$null;138;165;17;2608;3694;2606;909;1297;400;33041;53074
6999153;org.jfree.chart.annotations.CategoryLineAnnotationTest$null;15;48;25;127;128;2631;920;1311;400;33016;53201
7003249;org.jfree.chart.annotations.CategoryPointerAnnotationTest$null;19;24;43;201;215;2674;952;1319;403;32973;53402
