GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lavalamp,net.sf.lavalamp.properties,MissingPropertyException,0,9,0,0,0,4,0,2,0,2
lavalamp,net.sf.lavalamp.properties,Off,0,40,0,0,0,10,0,6,0,6
lavalamp,net.sf.lavalamp.application,WebRun,100,242,52,32,2,39,39,10,0,7
lavalamp,net.sf.lavalamp.application,UniversalRunner,90,95,52,24,3,11,38,3,1,2
lavalamp,net.sf.lavalamp.application,BuildStatusServlet,36,128,36,20,0,21,27,3,0,2
lavalamp,net.sf.lavalamp.application,DefaultApplication,8,17,4,2,2,5,4,3,1,3
lavalamp,net.sf.lavalamp.application,ApplicationProperties,22,101,13,9,0,19,10,12,0,11
lavalamp,net.sf.lavalamp.application,ApplicationPropertiesLoader,4,22,4,2,0,5,3,2,0,2
lavalamp,net.sf.lavalamp.application,AlwaysOff,26,65,21,11,0,13,16,2,0,2
lavalamp,net.sf.lavalamp.site.impl,BambooRestApi,42,98,25,15,0,13,18,6,0,4
lavalamp,net.sf.lavalamp.site.impl,Hudson,42,104,25,15,0,10,18,6,0,4
lavalamp,net.sf.lavalamp.site.impl,Bamboo3RestApi,0,35,0,0,0,4,0,2,0,2
lavalamp,net.sf.lavalamp.site.impl,BambooRemoteApi,80,186,46,28,1,20,35,11,1,8
lavalamp,net.sf.lavalamp.site,MissingBuildException,0,9,0,0,0,4,0,2,0,2
lavalamp,net.sf.lavalamp.site,AbstractGetter,0,7,0,0,0,3,0,2,0,2
lavalamp,net.sf.lavalamp.site,SiteProperties,0,47,0,0,0,12,0,8,0,8
lavalamp,net.sf.lavalamp.site,BuildChecker,12,63,12,6,0,12,9,3,0,3
lavalamp,net.sf.lavalamp.site,BuildProperties,9,46,6,4,0,11,4,8,0,7
lavalamp,net.sf.lavalamp.site,SiteFactory,8,33,8,4,0,6,6,2,0,2
lavalamp,net.sf.lavalamp.site,AbstractBuildSite,0,31,0,0,0,9,0,6,0,6
lavalamp,net.sf.lavalamp.site,Console,13,0,0,0,3,0,3,0,3,0
lavalamp,net.sf.lavalamp.site,Build,18,73,12,6,0,17,9,7,0,7
lavalamp,net.sf.lavalamp.site,AuthBuildSite,12,81,12,6,0,11,9,6,0,6
lavalamp,net.sf.lavalamp.site,UrlGetter,178,340,134,66,0,34,93,14,0,7
lavalamp,net.sf.lavalamp.site,DummyRemoteGetter,11,21,7,5,0,5,5,4,0,3
lavalamp,net.sf.lavalamp.site,DummyRestGetter,11,23,7,5,0,5,5,4,0,3
lavalamp,net.sf.lavalamp.site,Builds,40,134,27,21,0,20,20,9,0,5
lavalamp,net.sf.lavalamp.site,LoginFailedException,0,11,0,0,0,6,0,3,0,3
lavalamp,net.sf.lavalamp.site,LoginRequiredException,0,7,0,0,0,4,0,2,0,2
lavalamp,net.sf.lavalamp.factories,DeviceBuildsFactory,28,99,26,16,0,16,19,5,0,3
lavalamp,net.sf.lavalamp.device.impl,TellStickJni,15,77,8,8,2,13,7,6,1,4
lavalamp,net.sf.lavalamp.device.impl,TellStick,28,133,28,14,0,21,21,9,0,9
lavalamp,net.sf.lavalamp.device,TimeOfDay,238,251,98,62,0,28,74,14,0,8
lavalamp,net.sf.lavalamp.device,DeviceController,61,217,54,34,0,32,40,12,0,8
lavalamp,net.sf.lavalamp.device,Actions,0,21,0,0,0,8,0,4,0,4
lavalamp,net.sf.lavalamp.device,Period,441,282,210,74,0,22,136,11,0,5
lavalamp,net.sf.lavalamp.device,TurnOff,8,27,8,4,0,4,6,2,0,2
lavalamp,net.sf.lavalamp.device,HtmlFormatter,44,142,44,26,0,23,33,7,0,5
lavalamp,net.sf.lavalamp.device,OnError,0,48,0,0,0,4,0,4,0,4
lavalamp,net.sf.lavalamp.device,Crash,0,8,0,0,0,2,0,2,0,2
lavalamp,net.sf.lavalamp.device,DummyDevice,0,17,0,0,0,3,0,3,0,3
lavalamp,net.sf.lavalamp.device,DeviceProperties,30,158,20,14,0,33,14,20,0,17
lavalamp,net.sf.lavalamp.device,AbstractDevice,45,196,33,21,0,37,24,15,0,12
lavalamp,net.sf.lavalamp.device,TurnOn,8,27,8,4,0,4,6,2,0,2
lavalamp,net.sf.lavalamp.device,Blink,63,114,43,23,0,17,32,4,0,3
lavalamp,net.sf.lavalamp.device,StatusQuo,0,4,0,0,0,2,0,2,0,2
lavalamp,net.sf.lavalamp,Pause,4,11,4,2,0,3,3,2,0,2
lavalamp,net.sf.lavalamp,LavaLogger,53,157,47,27,0,29,35,15,0,13
