CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;net.sf.lavalamp.AptTest$null;6;9;0;0;0;0;0;0;0;277;0
48;net.sf.lavalamp.PauseTest$null;105;101;1;1;1;1;1;0;0;276;1
2369;net.sf.lavalamp.application.AlwaysOffTest$null;134;137;2;12;12;3;2;0;1;274;13
2714;net.sf.lavalamp.application.ApplicationPropertiesTest$null;35;46;0;10;10;3;2;0;1;274;23
3366;net.sf.lavalamp.application.ApplicationPropertiesWebTest$null;38;51;0;17;18;3;2;0;1;274;40
5344;net.sf.lavalamp.application.BuildStatusServletTest$null;139;175;1;11;11;4;3;0;1;273;51
8183;net.sf.lavalamp.application.UniversalRunnerTest$null;130;150;9;24;24;13;7;5;1;264;75
138753;net.sf.lavalamp.application.WebRunTest$null;277;379;127;170;173;140;16;120;4;137;245
145739;net.sf.lavalamp.device.BlinkTest$null;102;112;2;4;17;142;16;122;4;135;249
145740;net.sf.lavalamp.device.CrashTest$null;5;2;0;0;0;143;16;123;4;134;249
154951;net.sf.lavalamp.device.DeviceControllerTest$null;166;188;12;11;19;155;16;134;5;122;260
154951;net.sf.lavalamp.device.DeviceFactoryTest$null;11;6;0;0;24;155;16;134;5;122;260
154951;net.sf.lavalamp.device.DevicePropertiesTest$null;57;60;0;0;10;155;16;134;5;122;260
162598;net.sf.lavalamp.device.PeriodTest$null;6;3;22;23;52;177;16;134;27;100;283
162598;net.sf.lavalamp.device.StatusQuoTest$null;83;95;0;0;0;177;16;134;27;100;283
167408;net.sf.lavalamp.device.TimeOfDayTest$null;8;4;14;14;26;191;16;134;41;86;297
170791;net.sf.lavalamp.device.impl.TellStickJniTest$null;95;93;5;4;28;196;16;135;45;81;301
176743;net.sf.lavalamp.device.impl.TellStickTest$null;119;123;7;7;81;203;16;142;45;74;308
176743;net.sf.lavalamp.factories.DeviceBuildsFactoryTest$null;12;9;0;0;33;203;16;142;45;74;308
176743;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;5;3;0;0;0;203;16;142;45;74;308
176743;net.sf.lavalamp.site.BuildPropertiesTest$null;28;24;0;0;10;203;16;142;45;74;308
179218;net.sf.lavalamp.site.BuildsCheckerTest$null;107;109;3;3;13;206;16;145;45;71;311
180048;net.sf.lavalamp.site.BuildsTest$null;95;91;0;1;8;206;16;145;45;71;312
182235;net.sf.lavalamp.site.DummyRemoteGetterTest$null;6;2;2;2;2;208;16;146;46;69;314
182809;net.sf.lavalamp.site.DummyRestGetterTest$null;5;1;2;2;2;210;16;146;48;67;316
182809;net.sf.lavalamp.site.MissingBuildExceptionTest$null;5;2;0;0;0;210;16;146;48;67;316
182810;net.sf.lavalamp.site.SiteFactoryTest$null;9;6;0;0;3;210;16;146;48;67;316
198788;net.sf.lavalamp.site.UrlGetterTest$null;383;390;19;19;50;230;16;165;49;47;335
202093;net.sf.lavalamp.site.impl.Bamboo3RestApiTest$null;95;94;3;4;6;233;16;166;51;44;339
204689;net.sf.lavalamp.site.impl.BambooRemoteApiTest$null;98;92;2;3;17;236;16;166;54;41;342
208900;net.sf.lavalamp.site.impl.BambooRestApiTest$null;111;109;5;5;11;242;16;171;55;35;347
217377;net.sf.lavalamp.site.impl.BambooSiteTest$null;113;116;10;10;19;252;16;181;55;25;357
222383;net.sf.lavalamp.site.impl.HudsonTest$null;116;124;6;6;11;258;16;187;55;19;363
