mutantNo;[FAIL | TIME | EXC | LIVE]
1;EXC
2;TIME
3;TIME
4;LIVE
5;LIVE
6;LIVE
7;LIVE
9;TIME
11;TIME
12;TIME
13;FAIL
14;LIVE
15;LIVE
16;LIVE
17;TIME
18;FAIL
19;LIVE
20;LIVE
21;LIVE
22;LIVE
24;LIVE
26;FAIL
27;FAIL
28;LIVE
29;FAIL
30;LIVE
31;FAIL
32;LIVE
33;LIVE
34;FAIL
35;EXC
36;EXC
37;FAIL
38;EXC
39;EXC
40;EXC
41;FAIL
42;EXC
43;EXC
44;FAIL
45;EXC
46;EXC
47;EXC
48;TIME
49;TIME
50;TIME
51;EXC
52;EXC
53;EXC
54;EXC
55;EXC
56;EXC
57;EXC
58;EXC
59;EXC
60;EXC
61;EXC
62;EXC
63;EXC
64;EXC
65;FAIL
66;EXC
67;EXC
68;EXC
69;EXC
70;EXC
71;TIME
72;EXC
73;EXC
74;TIME
75;EXC
76;EXC
77;TIME
78;EXC
79;EXC
80;EXC
81;EXC
82;EXC
83;EXC
84;EXC
85;EXC
86;EXC
87;EXC
88;EXC
89;EXC
90;TIME
91;EXC
92;EXC
93;EXC
94;EXC
95;TIME
96;EXC
97;EXC
98;EXC
99;EXC
100;EXC
101;TIME
102;EXC
103;EXC
104;EXC
105;EXC
111;TIME
112;TIME
113;TIME
114;TIME
115;TIME
116;TIME
117;TIME
118;TIME
119;TIME
120;TIME
121;TIME
122;TIME
123;TIME
124;TIME
125;TIME
126;TIME
127;TIME
133;TIME
134;TIME
135;EXC
136;EXC
137;EXC
138;EXC
139;EXC
140;TIME
141;TIME
142;TIME
143;TIME
144;TIME
145;EXC
146;EXC
147;EXC
148;EXC
149;TIME
150;EXC
151;EXC
152;EXC
153;EXC
154;EXC
155;EXC
156;EXC
157;EXC
158;EXC
159;EXC
160;EXC
161;EXC
162;EXC
163;EXC
164;FAIL
165;TIME
166;FAIL
167;TIME
168;LIVE
169;TIME
170;LIVE
171;TIME
172;LIVE
173;TIME
174;FAIL
175;EXC
176;TIME
177;EXC
178;FAIL
179;EXC
180;TIME
181;TIME
182;EXC
183;EXC
184;EXC
185;TIME
186;FAIL
187;EXC
188;EXC
189;EXC
190;EXC
191;EXC
192;EXC
193;FAIL
194;FAIL
195;FAIL
196;EXC
197;EXC
198;FAIL
199;EXC
200;EXC
201;LIVE
202;LIVE
203;LIVE
204;LIVE
205;FAIL
207;EXC
208;EXC
209;EXC
210;EXC
211;EXC
212;EXC
213;EXC
214;EXC
215;EXC
216;FAIL
217;EXC
218;EXC
219;EXC
220;EXC
221;EXC
222;TIME
223;EXC
224;EXC
225;TIME
226;EXC
227;EXC
228;EXC
229;EXC
230;EXC
231;EXC
232;EXC
233;EXC
234;EXC
235;EXC
236;EXC
237;EXC
238;TIME
239;EXC
240;EXC
241;EXC
242;EXC
243;EXC
244;TIME
245;EXC
246;TIME
247;TIME
248;TIME
249;TIME
250;TIME
251;TIME
252;TIME
253;EXC
254;EXC
255;EXC
256;EXC
257;EXC
258;EXC
259;EXC
260;EXC
261;EXC
262;TIME
263;FAIL
264;EXC
265;FAIL
266;TIME
267;EXC
268;EXC
269;EXC
270;EXC
271;EXC
272;EXC
273;EXC
274;EXC
275;EXC
276;TIME
277;EXC
278;EXC
279;EXC
280;EXC
281;EXC
282;EXC
283;EXC
284;EXC
285;TIME
286;EXC
287;EXC
288;EXC
289;TIME
290;TIME
291;EXC
292;EXC
