CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;net.sf.lavalamp.AptTest$null;4;9;0;0;0;0;0;0;0;277;0
7;net.sf.lavalamp.PauseTest$null;104;101;1;1;1;1;1;0;0;276;1
2304;net.sf.lavalamp.application.AlwaysOffTest$null;121;135;2;12;12;3;2;0;1;274;13
2653;net.sf.lavalamp.application.ApplicationPropertiesTest$null;34;47;0;10;10;3;2;0;1;274;23
3348;net.sf.lavalamp.application.ApplicationPropertiesWebTest$null;39;50;0;17;18;3;2;0;1;274;40
4902;net.sf.lavalamp.application.BuildStatusServletTest$null;153;173;1;11;11;4;3;0;1;273;51
8096;net.sf.lavalamp.application.UniversalRunnerTest$null;138;153;9;24;24;13;8;4;1;264;75
231127;net.sf.lavalamp.application.WebRunTest$null;283;397;120;165;168;133;17;104;12;144;240
233762;net.sf.lavalamp.device.BlinkTest$null;105;125;5;4;17;138;18;108;12;139;244
233762;net.sf.lavalamp.device.CrashTest$null;3;2;0;0;0;138;18;108;12;139;244
255324;net.sf.lavalamp.device.DeviceControllerTest$null;140;162;10;11;19;148;18;118;12;129;255
255324;net.sf.lavalamp.device.DeviceFactoryTest$null;10;7;0;0;24;149;18;119;12;128;255
255325;net.sf.lavalamp.device.DevicePropertiesTest$null;53;58;0;0;10;149;18;119;12;128;255
262976;net.sf.lavalamp.device.PeriodTest$null;6;3;26;28;52;175;18;119;38;102;283
262976;net.sf.lavalamp.device.StatusQuoTest$null;78;109;0;0;0;176;18;119;39;101;283
265282;net.sf.lavalamp.device.TimeOfDayTest$null;7;4;11;16;34;187;22;119;46;90;299
267888;net.sf.lavalamp.device.impl.TellStickJniTest$null;87;97;2;3;23;190;22;119;49;87;302
279475;net.sf.lavalamp.device.impl.TellStickTest$null;120;130;8;8;81;198;22;120;56;79;310
279476;net.sf.lavalamp.factories.DeviceBuildsFactoryTest$null;11;9;1;0;33;199;22;120;57;78;310
279476;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;4;2;0;0;0;199;22;120;57;78;310
279476;net.sf.lavalamp.site.BuildPropertiesTest$null;29;24;0;0;10;199;22;120;57;78;310
282091;net.sf.lavalamp.site.BuildsCheckerTest$null;99;105;2;3;13;201;22;120;59;76;313
283205;net.sf.lavalamp.site.BuildsTest$null;101;99;1;1;8;202;22;120;60;75;314
283470;net.sf.lavalamp.site.DummyRemoteGetterTest$null;4;2;3;2;2;205;23;120;62;72;316
283479;net.sf.lavalamp.site.DummyRestGetterTest$null;5;1;2;2;2;207;24;121;62;70;318
283479;net.sf.lavalamp.site.MissingBuildExceptionTest$null;5;2;0;0;0;207;24;121;62;70;318
283479;net.sf.lavalamp.site.SiteFactoryTest$null;10;7;0;0;3;207;24;121;62;70;318
300103;net.sf.lavalamp.site.UrlGetterTest$null;296;386;19;19;50;226;24;140;62;51;337
306303;net.sf.lavalamp.site.impl.Bamboo3RestApiTest$null;121;120;3;4;6;229;24;143;62;48;341
309265;net.sf.lavalamp.site.impl.BambooRemoteApiTest$null;102;94;4;3;9;233;24;146;63;44;344
313449;net.sf.lavalamp.site.impl.BambooRestApiTest$null;115;106;5;5;19;238;24;151;63;39;349
322426;net.sf.lavalamp.site.impl.BambooSiteTest$null;114;107;9;10;19;247;24;159;64;30;359
330601;net.sf.lavalamp.site.impl.HudsonTest$null;158;107;7;6;11;254;24;164;66;23;365
