GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netweaver,com.sap.netweaver.porta.mon,AppCommand,121,0,40,0,10,0,24,0,4,0
netweaver,com.sap.netweaver.porta.mon,StateCommand,55,0,6,0,9,0,5,0,2,0
netweaver,com.sap.netweaver.porta.mon,ListAppsCommand,322,0,122,0,30,0,63,0,2,0
netweaver,com.sap.netweaver.porta.mon,DeployManagerAuthenticationCallback.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.mon,StopCommand,55,0,12,0,9,0,8,0,2,0
netweaver,com.sap.netweaver.porta.mon,RestartCommand,55,0,12,0,9,0,8,0,2,0
netweaver,com.sap.netweaver.porta.mon,UndeployCommand.new Object() {...},26,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.mon,CommandFactory,67,0,13,0,15,0,14,0,2,0
netweaver,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallback.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.mon,StartCommand,55,0,12,0,9,0,8,0,2,0
netweaver,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallback,76,0,27,0,12,0,16,0,2,0
netweaver,com.sap.netweaver.porta.mon,ExitCommand,59,0,26,0,6,0,15,0,2,0
netweaver,com.sap.netweaver.porta.mon,UndeployCommand,120,0,20,0,18,0,13,0,2,0
netweaver,com.sap.netweaver.porta.mon,EnableDebuggingCommand,145,0,48,0,17,0,26,0,2,0
netweaver,com.sap.netweaver.porta.mon,StartAppCommand,91,0,22,0,14,0,13,0,2,0
netweaver,com.sap.netweaver.porta.mon,DeployCommand.new Object() {...},26,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.mon,StopAppCommand,91,0,22,0,14,0,13,0,2,0
netweaver,com.sap.netweaver.porta.mon,DeployManagerAuthenticationCallback,76,0,27,0,12,0,16,0,2,0
netweaver,com.sap.netweaver.porta.mon,PortaMon,793,0,344,0,81,0,186,0,14,0
netweaver,com.sap.netweaver.porta.mon,Command,7,0,0,0,2,0,2,0,2,0
netweaver,com.sap.netweaver.porta.mon,DisableDebuggingCommand,75,0,18,0,12,0,12,0,3,0
netweaver,com.sap.netweaver.porta.mon,DeployCommand,113,0,16,0,16,0,12,0,3,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CIMObject,1623,0,742,0,64,0,383,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationCode,149,0,32,0,24,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceIdentifier,815,0,354,0,41,0,187,0,10,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationCode,154,0,32,0,25,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,TargetService,1267,0,574,0,52,0,299,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceType,149,0,32,0,24,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationException,2303,0,1048,0,85,0,541,0,17,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ResponseMessage,1327,0,602,0,54,0,313,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationResult,1445,0,658,0,58,0,341,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseStatus,174,0,32,0,29,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceStatus,149,0,32,0,24,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,Database,2088,0,972,0,74,0,500,0,14,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperation,1415,0,644,0,57,0,334,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseComponent,1415,0,644,0,57,0,334,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceSelector,1297,0,588,0,53,0,306,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationOptions,1157,0,496,0,56,0,260,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationArguments,1327,0,602,0,54,0,313,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPInstance,2482,0,1170,0,80,0,601,0,16,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,Property,1327,0,602,0,54,0,313,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_BindingStub,12645,0,4770,0,1056,0,2412,0,27,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceOptionsFlags,164,0,32,0,27,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceServiceOperation,1267,0,574,0,52,0,299,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CIMAttribute,1882,0,874,0,67,0,451,0,14,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CancelOperationType,144,0,32,0,23,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_ServiceLocator,360,0,102,0,52,0,66,0,15,0
netweaver,com.sap.netweaver.porta.ide.eclipse.axis.proxy,AxisTransportClientProperties,113,0,50,0,11,0,31,0,6,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,NoWSGateDialog,452,0,160,0,32,0,85,0,5,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,PublishProblemDialog.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,NoWSGateDialog.new FocusAdapter() {...},24,0,6,0,3,0,5,0,2,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,LoginDialog,369,0,124,0,38,0,67,0,5,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,PublishProblemDialog,596,0,193,0,31,0,102,0,5,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetJ2EEGetProcessList,198,0,60,0,10,0,33,0,3,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetPing,77,0,30,0,9,0,17,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer.AuthCallback,83,0,27,0,12,0,16,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetGetSystemName,76,0,24,0,9,0,14,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetGetProcessList,198,0,60,0,10,0,33,0,3,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer,278,0,126,0,26,0,65,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback,456,0,166,0,39,0,89,0,6,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetServerFactory,130,0,42,0,13,0,23,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetGetHttpAccessPoint,66,0,24,0,8,0,14,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback.AuthCallback,83,0,27,0,12,0,16,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstance,322,0,116,0,24,0,63,0,5,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetUseDeployManager,222,0,84,0,28,0,47,0,5,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetFindJ2EEInstance,315,0,100,0,14,0,53,0,3,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetGetApplications,305,0,102,0,18,0,55,0,4,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,ProxyUtilCaller,60,0,12,0,8,0,8,0,2,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,FacetUtil,32,0,6,0,6,0,6,0,3,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,StatusUtil,337,0,150,0,9,0,79,0,4,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,SapNWServerUtil,179,0,70,0,8,0,40,0,5,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,ProxyUtil,555,0,232,0,49,0,121,0,5,0
netweaver,com.sap.netweaver.porta.ide.eclipse,SapNWPlugin,206,0,76,0,30,0,49,0,11,0
netweaver,com.sap.netweaver.porta.ide.eclipse,SapNWPlugin.new Runnable() {...},30,0,6,0,3,0,5,0,2,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,AlertHolder,9,0,0,0,5,0,2,0,2,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,STATECOLORHolder,9,0,0,0,5,0,2,0,2,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,ArrayOfAlertHolder,9,0,0,0,5,0,2,0,2,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,ArrayOfStringHolder,9,0,0,0,5,0,2,0,2,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server,SapNWRefreshStateJob,159,0,64,0,13,0,34,0,2,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server,SapNWServer,1481,0,584,0,93,0,312,0,20,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,StartStopOption,79,80,25,7,11,15,25,3,9,3
