GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netweaver,com.sap.netweaver.porta.mon,AppCommand,51,0,6,0,10,0,7,0,4,0
netweaver,com.sap.netweaver.porta.mon,StateCommand,46,0,0,0,9,0,2,0,2,0
netweaver,com.sap.netweaver.porta.mon,ListAppsCommand,142,0,2,0,30,0,3,0,2,0
netweaver,com.sap.netweaver.porta.mon,DeployManagerAuthenticationCallback.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.mon,StopCommand,37,0,0,0,9,0,2,0,2,0
netweaver,com.sap.netweaver.porta.mon,RestartCommand,37,0,0,0,9,0,2,0,2,0
netweaver,com.sap.netweaver.porta.mon,UndeployCommand.new Object() {...},26,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.mon,CommandFactory,67,0,13,0,15,0,14,0,2,0
netweaver,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallback.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.mon,StartCommand,37,0,0,0,9,0,2,0,2,0
netweaver,com.sap.netweaver.porta.mon,LifecycleManagerAuthenticationCallback,40,0,3,0,13,0,4,0,2,0
netweaver,com.sap.netweaver.porta.mon,ExitCommand,14,0,0,0,6,0,2,0,2,0
netweaver,com.sap.netweaver.porta.mon,UndeployCommand,98,0,6,0,18,0,6,0,2,0
netweaver,com.sap.netweaver.porta.mon,EnableDebuggingCommand,73,0,0,0,17,0,2,0,2,0
netweaver,com.sap.netweaver.porta.mon,StartAppCommand,60,0,2,0,14,0,3,0,2,0
netweaver,com.sap.netweaver.porta.mon,DeployCommand.new Object() {...},26,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.mon,StopAppCommand,60,0,2,0,14,0,3,0,2,0
netweaver,com.sap.netweaver.porta.mon,DeployManagerAuthenticationCallback,40,0,3,0,13,0,4,0,2,0
netweaver,com.sap.netweaver.porta.mon,PortaMon,251,0,10,0,81,0,19,0,14,0
netweaver,com.sap.netweaver.porta.mon,Command,7,0,0,0,2,0,2,0,2,0
netweaver,com.sap.netweaver.porta.mon,DisableDebuggingCommand,48,0,0,0,12,0,3,0,3,0
netweaver,com.sap.netweaver.porta.mon,DeployCommand,95,0,4,0,16,0,6,0,3,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CIMObject,283,0,44,0,66,0,34,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationCode,100,0,4,0,24,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceIdentifier,167,0,22,0,41,0,21,0,10,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationCode,105,0,4,0,25,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,TargetService,225,0,32,0,52,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ServiceType,100,0,4,0,24,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationException,379,0,50,0,86,0,42,0,17,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ResponseMessage,231,0,32,0,54,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationResult,254,0,38,0,59,0,31,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseStatus,125,0,4,0,29,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceStatus,100,0,4,0,24,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,Database,338,0,54,0,76,0,41,0,14,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperation,251,0,38,0,58,0,31,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,DatabaseComponent,251,0,38,0,58,0,31,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceSelector,228,0,32,0,53,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,OperationOptions,242,0,30,0,57,0,27,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,ACOperationArguments,231,0,32,0,54,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPInstance,359,0,52,0,80,0,42,0,16,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,Property,231,0,32,0,54,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_BindingStub,4987,0,176,0,1056,0,115,0,27,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceOptionsFlags,115,0,4,0,27,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,InstanceServiceOperation,225,0,32,0,52,0,28,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CIMAttribute,295,0,42,0,67,0,35,0,14,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,CancelOperationType,95,0,4,0,23,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.saphostcontrol,SAPHostControl_ServiceLocator,209,0,12,0,52,0,21,0,15,0
netweaver,com.sap.netweaver.porta.ide.eclipse.axis.proxy,AxisTransportClientProperties,48,0,10,0,11,0,11,0,6,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,NoWSGateDialog,168,0,2,0,32,0,6,0,5,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,PublishProblemDialog.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,NoWSGateDialog.new FocusAdapter() {...},15,0,0,0,3,0,2,0,2,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,LoginDialog,155,0,2,0,38,0,6,0,5,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server.ui.dialogs,PublishProblemDialog,152,0,7,0,31,0,9,0,5,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetJ2EEGetProcessList,71,0,2,0,10,0,4,0,3,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetPing,32,0,0,0,9,0,2,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer.AuthCallback,47,0,3,0,13,0,4,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetGetSystemName,40,0,0,0,9,0,2,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetGetProcessList,71,0,2,0,10,0,4,0,3,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer,79,0,4,0,26,0,4,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback,158,0,14,0,39,0,13,0,6,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetServerFactory,67,0,0,0,13,0,2,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetGetHttpAccessPoint,30,0,0,0,8,0,2,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback.AuthCallback,47,0,3,0,13,0,4,0,2,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstance,112,0,8,0,24,0,9,0,5,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetUseDeployManager,94,0,4,0,28,0,7,0,5,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetStartStopServer.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetShutdownInstanceAuthCallback.new Object() {...},19,0,0,0,1,0,1,0,1,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetFindJ2EEInstance,119,0,6,0,14,0,6,0,3,0
netweaver,com.sap.netweaver.porta.core.snippets,SnippetGetApplications,111,0,4,0,18,0,6,0,4,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,ProxyUtilCaller,42,0,0,0,8,0,2,0,2,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,FacetUtil,19,0,0,0,6,0,3,0,3,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,StatusUtil,45,0,14,0,9,0,11,0,4,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,SapNWServerUtil,56,0,12,0,8,0,11,0,5,0
netweaver,com.sap.netweaver.porta.ide.eclipse.util,ProxyUtil,212,0,26,0,50,0,18,0,5,0
netweaver,com.sap.netweaver.porta.ide.eclipse,SapNWPlugin,94,0,2,0,30,0,12,0,11,0
netweaver,com.sap.netweaver.porta.ide.eclipse,SapNWPlugin.new Runnable() {...},21,0,0,0,3,0,2,0,2,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,AlertHolder,9,0,0,0,5,0,2,0,2,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,STATECOLORHolder,9,0,0,0,5,0,2,0,2,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,ArrayOfAlertHolder,9,0,0,0,5,0,2,0,2,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol.holders,ArrayOfStringHolder,9,0,0,0,5,0,2,0,2,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server,SapNWRefreshStateJob,52,0,4,0,14,0,4,0,2,0
netweaver,com.sap.netweaver.porta.ide.eclipse.server,SapNWServer,445,0,50,0,93,0,45,0,20,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,StartStopOption,45,65,3,1,11,15,11,3,9,3
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEEJBSession,978,0,122,0,213,0,99,0,38,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,LogFile,347,0,44,0,78,0,38,0,16,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EERemoteObject,675,0,80,0,150,0,68,0,28,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEApplicationAlias,406,0,54,0,91,0,45,0,18,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,VISIBLELEVEL,100,0,4,0,24,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEClusterMsg,699,0,50,0,153,0,55,0,30,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,WorkProcess,1029,0,146,0,219,0,111,0,38,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,SAPInstance,246,251,58,0,50,62,46,5,17,5
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,STATECOLOR,51,49,4,0,12,12,12,2,10,2
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,SyslogEntry,612,0,92,0,131,0,70,0,24,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,AlertNode,781,0,114,0,166,0,87,0,30,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,SubProfileParameter,408,0,56,0,90,0,46,0,18,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,SAPControl_ServiceLocator,182,27,12,0,43,9,18,3,12,3
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEPSTATE,44,71,4,0,10,17,10,4,8,4
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,GCInfo2,977,0,84,0,213,0,82,0,40,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,ICMCacheEntry,638,0,80,0,139,0,66,0,26,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EESharedTableInfo,369,0,38,0,86,0,37,0,18,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,RESTRICTIONTYPE,115,0,4,0,27,0,14,0,12,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,ICMProxyConnection,1123,0,150,0,241,0,117,0,42,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,TaskHandlerQueue,402,0,32,0,96,0,36,0,20,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,GCInfo,864,0,72,0,190,0,72,0,36,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,AccessPoint,179,227,51,3,31,60,35,10,8,10
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEProcess2,975,0,122,0,212,0,99,0,38,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEWebSession,675,0,80,0,150,0,68,0,28,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,Alert,548,0,82,0,118,0,63,0,22,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,EnqLock,825,0,110,0,178,0,87,0,32,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEThread2,979,0,144,0,207,0,108,0,36,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,InstanceVersionInfo,295,0,42,0,67,0,35,0,14,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEThread,932,0,142,0,196,0,105,0,34,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EECache2,1110,0,98,0,248,0,95,0,46,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,DirEntry,283,0,34,0,65,0,31,0,14,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EECache,1046,0,88,0,235,0,88,0,44,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,HeapInfo,552,0,52,0,121,0,50,0,24,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,ParameterRestriction,510,0,78,0,111,0,59,0,20,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,SetProfileParameter,321,0,48,0,73,0,38,0,14,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EESession,675,0,80,0,150,0,68,0,28,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,ICMThread,411,0,54,0,91,0,45,0,18,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,InstanceProperty,170,125,42,0,35,32,32,3,11,3
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,ProfileParameter,818,0,130,0,175,0,93,0,28,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,ICMConnection,786,0,92,0,174,0,78,0,32,0
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EEProcess,475,453,120,0,90,111,87,9,27,9
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,SAPControl_BindingStub,6366,7453,279,1,1633,1350,206,10,66,10
netweaver,com.sap.managementconsole.soap.axis.sapcontrol,OSProcess,531,0,74,0,116,0,59,0,22,0
netweaver,com.sap.netweaver.porta.core.nw7,DeployManagerImpl,8,225,1,7,2,45,1,12,0,9
netweaver,com.sap.netweaver.porta.core.nw7,LifecycleManagerImpl,34,152,1,3,8,37,1,11,0,10
netweaver,com.sap.netweaver.porta.core.nw7,CoreModuleImpl,4,15,1,1,2,7,2,2,1,2
netweaver,com.sap.netweaver.porta.core.nw7,DMUtilsImpl,189,11,12,0,40,2,15,2,9,2
netweaver,com.sap.netweaver.porta.core.nw7,DeployManagerImpl.new DeployManagerImpl.DeployOperationContext() {...},4,28,1,1,1,4,1,2,0,2
netweaver,com.sap.netweaver.porta.core.nw7,DeployManagerImpl.new DeployManagerImpl.DeployOperationContext() {...},0,50,0,0,0,5,0,2,0,2
netweaver,com.sap.netweaver.porta.core.nw7,LifecycleManagerImpl.new LifecycleManagerImpl.LifecycleOperationContext() {...},4,26,1,1,1,5,1,3,0,3
netweaver,com.sap.netweaver.porta.core.nw7,LifecycleManagerImpl.new LifecycleManagerImpl.LifecycleOperationContext() {...},4,35,1,1,1,8,1,4,0,4
netweaver,com.sap.netweaver.porta.core.nw7,LifecycleManagerImpl.new LifecycleManagerImpl.LifecycleOperationContext() {...},0,26,0,0,0,3,0,2,0,2
netweaver,com.sap.netweaver.porta.core.nw7,LifecycleManagerImpl.new LifecycleManagerImpl.LifecycleOperationContext() {...},0,17,0,0,0,3,0,2,0,2
netweaver,com.sap.netweaver.porta.core.nw7,LifecycleManagerImpl.new LifecycleManagerImpl.LifecycleOperationContext() {...},4,24,1,1,1,5,1,3,0,3
netweaver,com.sap.netweaver.porta.core.nw7,LifecycleManagerImpl.new LifecycleManagerImpl.LifecycleOperationContext() {...},4,25,1,1,1,5,1,3,0,3
netweaver,com.sap.netweaver.porta.core.nw7,DeployManagerImpl.new DeployManagerImpl.DeployOperationContext() {...},0,27,0,0,0,4,0,2,0,2
netweaver,com.sap.netweaver.porta.core.nw7,DeployManagerImpl.new DeployManagerImpl.DeployOperationContext() {...},0,21,0,0,0,3,0,2,0,2
netweaver,com.sap.netweaver.porta.core.nw7,DeployManagerImpl.new DeployManagerImpl.DeployOperationContext() {...},0,21,0,0,0,3,0,2,0,2
netweaver,com.sap.netweaver.porta.core.nw7,ServerFactory.MapKey,2,33,1,1,1,6,1,3,0,3
netweaver,com.sap.netweaver.porta.core.nw7,FileUploaderImpl,206,0,18,0,41,0,12,0,3,0
netweaver,com.sap.netweaver.porta.core.nw7,ServerFactory,5,55,0,2,0,14,0,4,0,3
netweaver,com.sap.netweaver.porta.core.nw7,LifecycleManagerImpl.LifecycleOperationContext,18,13,0,0,5,3,2,3,2,3
netweaver,com.sap.netweaver.porta.core.nw7,Operation,16,97,2,12,6,32,1,10,0,4
netweaver,com.sap.netweaver.porta.core.nw7,ApplicationImpl,7,46,1,1,2,12,2,9,1,9
netweaver,com.sap.netweaver.porta.core.nw7,ServerImpl,0,145,0,6,0,37,0,10,0,7
netweaver,com.sap.netweaver.porta.core.nw7,DeployResultImpl,0,15,0,0,0,6,0,3,0,3
netweaver,com.sap.netweaver.porta.core.nw7,FaultReasons,9,95,0,0,0,13,2,4,2,4
netweaver,com.sap.netweaver.porta.core.nw7,LMUtilsImpl,0,239,4,44,0,41,4,27,0,7
netweaver,com.sap.netweaver.porta.core.nw7,DeployManagerImpl.DeployOperationContext,49,9,2,0,10,2,4,2,3,2
