CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
19;com.sap.netweaver.porta.core.ApplicationStatusTest$null;11;12;2;2;2;2;1;1;0;1763;2
19;com.sap.netweaver.porta.core.AuthenticationReasonTest$null;8;1;0;0;0;2;1;1;0;1763;2
19;com.sap.netweaver.porta.core.AuthenticationRefusedExceptionTest$null;8;2;0;0;0;2;1;1;0;1763;2
20;com.sap.netweaver.porta.core.CoreExceptionTest$null;8;2;0;0;0;2;1;1;0;1763;2
20;com.sap.netweaver.porta.core.CredentialsTest$null;10;1;0;0;0;2;1;1;0;1763;2
20;com.sap.netweaver.porta.core.DebugSessionInfoTest$null;7;1;0;0;0;2;1;1;0;1763;2
36;com.sap.netweaver.porta.core.DeployResultStatusTest$null;9;3;2;2;2;4;2;2;0;1761;4
36;com.sap.netweaver.porta.core.NoWSGateExceptionTest$null;7;1;0;0;0;4;2;2;0;1761;4
36;com.sap.netweaver.porta.core.NotAuthorizedExceptionTest$null;20;3;0;0;0;4;2;2;0;1761;4
37;com.sap.netweaver.porta.core.ProxyExceptionTest$null;7;1;0;0;0;4;2;2;0;1761;4
37;com.sap.netweaver.porta.core.ServerStateTest$null;8;2;0;0;0;4;2;2;0;1761;4
109;com.sap.netweaver.porta.core.mock.ApplicationMockTest$null;11;10;3;7;7;7;4;3;0;1758;11
426;com.sap.netweaver.porta.core.mock.CoreModuleMockTest$null;9;4;12;21;21;19;11;7;1;1746;32
632;com.sap.netweaver.porta.core.mock.DeployManagerMockTest$null;12;6;4;18;31;23;15;7;1;1742;50
632;com.sap.netweaver.porta.core.mock.DeployResultMockTest$null;8;1;0;0;0;23;15;7;1;1742;50
806;com.sap.netweaver.porta.core.mock.LifecycleManagerMockTest$null;9;3;0;17;27;23;15;7;1;1742;67
813;com.sap.netweaver.porta.core.mock.ServerFactoryTest$null;8;3;1;1;1;24;16;7;1;1741;68
867;com.sap.netweaver.porta.core.mock.ServerMockTest$null;10;9;4;6;6;28;19;8;1;1737;74
4672;com.sap.netweaver.porta.core.nw7.ApplicationImplTest$null;62;96;1;60;62;29;20;8;1;1736;134
26996;com.sap.netweaver.porta.core.nw7.DeployManagerImplTest$null;120;150;21;195;196;50;32;16;2;1715;329
26997;com.sap.netweaver.porta.core.nw7.DeployResultImplTest$null;6;1;0;0;0;50;32;16;2;1715;329
26997;com.sap.netweaver.porta.core.nw7.FaultReasonsTest$null;8;4;0;0;0;50;32;16;2;1715;329
517452;com.sap.netweaver.porta.core.nw7.LMUtilsTest$null;332;427;135;1488;1489;185;91;89;5;1580;1817
556556;com.sap.netweaver.porta.core.nw7.LifecycleManagerImplTest$null;248;222;58;184;199;243;125;113;5;1522;2001
557706;com.sap.netweaver.porta.core.nw7.OperationTest$null;203;210;7;7;13;250;130;115;5;1515;2008
557719;com.sap.netweaver.porta.core.nw7.ServerFactoryTest$null;9;5;2;2;2;252;132;115;5;1513;2010
562591;com.sap.netweaver.porta.core.nw7.ServerImplTest$null;112;117;3;50;63;255;134;116;5;1510;2060
562663;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNWRuntimeTest$null;18;10;1;5;5;256;134;117;5;1509;2065
