CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
23;com.sap.netweaver.porta.core.ApplicationStatusTest$null;15;12;2;2;2;2;1;1;0;1763;2
23;com.sap.netweaver.porta.core.AuthenticationReasonTest$null;10;2;0;0;0;2;1;1;0;1763;2
23;com.sap.netweaver.porta.core.AuthenticationRefusedExceptionTest$null;11;3;0;0;0;2;1;1;0;1763;2
24;com.sap.netweaver.porta.core.CoreExceptionTest$null;11;7;0;0;0;2;1;1;0;1763;2
24;com.sap.netweaver.porta.core.CredentialsTest$null;9;1;0;0;0;2;1;1;0;1763;2
24;com.sap.netweaver.porta.core.DebugSessionInfoTest$null;12;1;0;0;0;2;1;1;0;1763;2
42;com.sap.netweaver.porta.core.DeployResultStatusTest$null;14;4;2;2;2;4;2;2;0;1761;4
42;com.sap.netweaver.porta.core.NoWSGateExceptionTest$null;49;1;0;0;0;4;2;2;0;1761;4
42;com.sap.netweaver.porta.core.NotAuthorizedExceptionTest$null;9;3;0;0;0;4;2;2;0;1761;4
43;com.sap.netweaver.porta.core.ProxyExceptionTest$null;8;1;0;0;0;4;2;2;0;1761;4
43;com.sap.netweaver.porta.core.ServerStateTest$null;11;3;0;0;0;4;2;2;0;1761;4
157;com.sap.netweaver.porta.core.mock.ApplicationMockTest$null;14;15;3;7;7;7;4;3;0;1758;11
588;com.sap.netweaver.porta.core.mock.CoreModuleMockTest$null;14;5;12;21;21;19;11;7;1;1746;32
805;com.sap.netweaver.porta.core.mock.DeployManagerMockTest$null;15;6;4;18;31;23;15;7;1;1742;50
805;com.sap.netweaver.porta.core.mock.DeployResultMockTest$null;8;1;0;0;0;23;15;7;1;1742;50
975;com.sap.netweaver.porta.core.mock.LifecycleManagerMockTest$null;11;3;0;17;27;23;15;7;1;1742;67
983;com.sap.netweaver.porta.core.mock.ServerFactoryTest$null;9;3;1;1;1;24;16;7;1;1741;68
1047;com.sap.netweaver.porta.core.mock.ServerMockTest$null;13;10;4;6;6;28;19;8;1;1737;74
5009;com.sap.netweaver.porta.core.nw7.ApplicationImplTest$null;83;118;1;60;62;29;20;8;1;1736;134
28837;com.sap.netweaver.porta.core.nw7.DeployManagerImplTest$null;144;158;21;195;196;50;32;16;2;1715;329
28837;com.sap.netweaver.porta.core.nw7.DeployResultImplTest$null;8;1;0;0;0;50;32;16;2;1715;329
28837;com.sap.netweaver.porta.core.nw7.FaultReasonsTest$null;10;4;0;0;0;50;32;16;2;1715;329
553547;com.sap.netweaver.porta.core.nw7.LMUtilsTest$null;374;503;151;1488;1489;201;91;88;22;1564;1817
594449;com.sap.netweaver.porta.core.nw7.LifecycleManagerImplTest$null;266;253;59;182;199;260;133;105;22;1505;1999
595645;com.sap.netweaver.porta.core.nw7.OperationTest$null;205;206;7;7;13;267;137;108;22;1498;2006
595658;com.sap.netweaver.porta.core.nw7.ServerFactoryTest$null;10;5;2;2;2;269;139;108;22;1496;2008
599732;com.sap.netweaver.porta.core.nw7.ServerImplTest$null;120;149;3;50;63;272;141;109;22;1493;2058
599788;com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNWRuntimeTest$null;22;13;1;5;5;273;141;110;22;1492;2063
