GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,SaddlePointExpansion,19,363,1,15,3,38,2,11,1,4
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,BetaDistribution,0,118,0,24,0,32,0,20,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,LaplaceDistribution,0,164,0,26,0,36,0,21,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,LogNormalDistribution,0,131,0,22,0,32,0,19,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,ContinuousDistribution,0,34,0,0,0,6,0,2,0,2
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,PoissonDistribution,0,115,0,20,0,28,0,17,0,7
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,CauchyDistribution,0,141,0,26,0,36,0,21,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,LogisticDistribution,0,142,0,26,0,36,0,21,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,RayleighDistribution,0,110,0,20,0,28,0,16,0,6
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,GeometricDistribution,0,115,0,20,0,27,0,17,0,7
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,NegativeBinomialDistribution,0,143,0,22,0,33,0,20,0,9
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,NormalDistribution,0,123,0,20,0,30,0,18,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,FDistribution,0,133,0,24,0,34,0,20,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,HypergeometricDistribution,0,247,1,23,0,52,1,22,0,11
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,ChiSquaredDistribution,0,46,0,0,0,13,0,8,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,GammaDistribution,0,138,0,24,0,32,0,20,0,8
numerics4j,net.sf.doodleproject.numerics4j.statistics.distribution,UniformDistribution,0,158,0,26,0,40,0,21,0,8
