mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;FAIL
3;FAIL
4;FAIL
5;LIVE
6;LIVE
7;LIVE
8;LIVE
9;LIVE
10;LIVE
11;FAIL
12;FAIL
13;EXC
14;EXC
15;EXC
16;EXC
17;EXC
18;EXC
19;FAIL
20;TIME
21;LIVE
22;LIVE
23;FAIL
24;EXC
25;LIVE
26;FAIL
27;LIVE
28;FAIL
29;EXC
30;TIME
31;LIVE
32;FAIL
33;EXC
34;FAIL
35;FAIL
36;FAIL
37;FAIL
38;FAIL
39;FAIL
40;FAIL
41;FAIL
42;FAIL
43;FAIL
44;LIVE
45;FAIL
46;FAIL
47;FAIL
48;FAIL
49;FAIL
50;FAIL
51;FAIL
52;FAIL
53;FAIL
54;FAIL
55;FAIL
56;FAIL
57;FAIL
58;FAIL
59;FAIL
60;FAIL
61;FAIL
62;FAIL
63;FAIL
64;EXC
65;FAIL
66;EXC
67;FAIL
68;EXC
69;FAIL
70;EXC
71;FAIL
72;EXC
73;FAIL
74;EXC
75;EXC
76;EXC
77;EXC
78;FAIL
79;EXC
80;EXC
81;EXC
82;EXC
83;EXC
84;EXC
85;EXC
86;EXC
87;FAIL
88;FAIL
89;FAIL
90;FAIL
91;LIVE
92;FAIL
93;FAIL
94;FAIL
95;FAIL
96;FAIL
97;FAIL
98;FAIL
99;FAIL
100;FAIL
101;FAIL
102;EXC
103;EXC
104;EXC
105;EXC
106;EXC
107;EXC
108;EXC
109;EXC
110;EXC
111;EXC
112;EXC
113;EXC
114;EXC
115;EXC
116;EXC
117;EXC
118;EXC
119;EXC
120;EXC
121;EXC
122;EXC
123;EXC
124;EXC
125;EXC
126;EXC
127;EXC
128;EXC
129;EXC
130;EXC
131;EXC
132;EXC
133;EXC
134;EXC
135;EXC
136;EXC
137;EXC
138;EXC
139;EXC
140;EXC
141;EXC
142;EXC
143;EXC
144;EXC
145;EXC
146;EXC
147;EXC
148;EXC
149;EXC
150;EXC
151;EXC
152;EXC
153;EXC
154;EXC
155;EXC
156;EXC
157;EXC
158;EXC
159;EXC
160;EXC
161;EXC
162;EXC
163;EXC
164;EXC
165;EXC
166;EXC
167;EXC
168;EXC
169;EXC
170;EXC
171;EXC
172;EXC
173;EXC
174;EXC
175;EXC
176;EXC
177;EXC
178;EXC
179;EXC
180;EXC
181;EXC
182;EXC
183;EXC
184;EXC
185;EXC
186;EXC
187;EXC
188;EXC
189;EXC
