GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trove-3.0.3,gnu.trove.impl,Constants,151,189,34,34,8,56,35,1,1,1
trove-3.0.3,gnu.trove.impl,PrimeFinder,3,1001,0,2,1,7,1,3,1,2
trove-3.0.3,gnu.trove.impl,HashFunctions,22,53,8,6,0,12,7,8,1,7
trove-3.0.3,gnu.trove.list.linked,TIntLinkedList.TIntLink,0,27,0,0,0,12,0,7,0,7
trove-3.0.3,gnu.trove.list.linked,TLongLinkedList,1769,0,238,0,434,0,194,0,75,0
trove-3.0.3,gnu.trove.list.linked,TShortLinkedList.new TShortIterator() {...},54,0,4,0,14,0,6,0,4,0
trove-3.0.3,gnu.trove.list.linked,TFloatLinkedList.new TFloatIterator() {...},54,0,4,0,14,0,6,0,4,0
trove-3.0.3,gnu.trove.list.linked,TFloatLinkedList,1769,0,238,0,434,0,194,0,75,0
trove-3.0.3,gnu.trove.list.linked,TIntLinkedList.RemoveProcedure,22,0,2,0,6,0,4,0,3,0
trove-3.0.3,gnu.trove.list.linked,TIntLinkedList,131,1628,26,212,27,407,27,167,4,71
trove-3.0.3,gnu.trove.list.linked,TCharLinkedList.RemoveProcedure,22,0,2,0,6,0,4,0,3,0
trove-3.0.3,gnu.trove.list.linked,TDoubleLinkedList.RemoveProcedure,22,0,2,0,6,0,4,0,3,0
trove-3.0.3,gnu.trove.list.linked,TLinkedList,0,629,4,70,0,181,4,59,0,26
trove-3.0.3,gnu.trove.list.linked,TByteLinkedList,1760,0,238,0,434,0,194,0,75,0
trove-3.0.3,gnu.trove.list.linked,TCharLinkedList.new TCharIterator() {...},54,0,4,0,14,0,6,0,4,0
trove-3.0.3,gnu.trove.list.linked,TShortLinkedList.RemoveProcedure,22,0,2,0,6,0,4,0,3,0
