mutantNo;[FAIL | TIME | EXC | LIVE]
3;TIME
4;LIVE
5;LIVE
6;LIVE
7;LIVE
8;LIVE
9;LIVE
10;LIVE
11;LIVE
12;LIVE
13;LIVE
15;LIVE
16;LIVE
17;LIVE
18;LIVE
19;LIVE
20;LIVE
21;TIME
22;LIVE
23;LIVE
24;TIME
25;TIME
26;TIME
28;TIME
29;TIME
30;EXC
31;EXC
32;TIME
33;TIME
34;TIME
35;TIME
36;TIME
37;TIME
38;TIME
39;TIME
40;TIME
41;TIME
43;TIME
44;TIME
45;TIME
46;FAIL
47;TIME
48;FAIL
50;TIME
51;TIME
52;TIME
53;TIME
54;TIME
55;TIME
57;TIME
58;TIME
61;TIME
62;TIME
63;TIME
64;TIME
65;TIME
66;TIME
67;TIME
68;TIME
69;TIME
70;TIME
72;TIME
73;TIME
76;TIME
77;TIME
78;TIME
79;TIME
80;TIME
81;TIME
82;TIME
83;TIME
84;TIME
85;TIME
87;TIME
88;TIME
89;LIVE
90;LIVE
91;LIVE
92;LIVE
93;LIVE
94;LIVE
95;LIVE
96;LIVE
97;LIVE
98;LIVE
99;LIVE
100;LIVE
101;FAIL
102;LIVE
103;LIVE
104;LIVE
105;FAIL
106;LIVE
107;LIVE
110;LIVE
111;TIME
112;FAIL
113;FAIL
114;FAIL
115;TIME
116;FAIL
117;TIME
118;FAIL
119;TIME
120;TIME
121;TIME
122;FAIL
123;FAIL
124;FAIL
125;FAIL
126;TIME
127;TIME
128;TIME
129;TIME
130;TIME
131;TIME
132;TIME
133;TIME
134;TIME
135;TIME
136;TIME
137;TIME
138;TIME
139;TIME
140;TIME
141;TIME
142;TIME
143;TIME
144;TIME
145;TIME
146;TIME
147;TIME
148;TIME
149;TIME
150;TIME
151;TIME
152;TIME
153;TIME
154;TIME
155;TIME
156;TIME
157;TIME
158;TIME
159;TIME
160;TIME
161;TIME
162;TIME
163;TIME
164;TIME
165;TIME
166;TIME
167;TIME
168;TIME
169;TIME
170;TIME
171;TIME
172;TIME
173;TIME
174;TIME
175;TIME
176;TIME
177;TIME
178;TIME
179;TIME
180;TIME
181;TIME
182;TIME
183;TIME
184;TIME
185;TIME
186;TIME
187;TIME
188;TIME
189;TIME
190;TIME
191;TIME
192;TIME
193;TIME
194;TIME
195;TIME
196;TIME
197;TIME
198;TIME
199;TIME
200;TIME
201;TIME
202;TIME
203;TIME
204;TIME
205;TIME
206;TIME
207;TIME
208;TIME
209;TIME
210;TIME
211;TIME
212;TIME
213;TIME
214;TIME
215;TIME
216;TIME
217;TIME
218;TIME
219;TIME
220;TIME
221;TIME
222;TIME
223;TIME
224;TIME
225;TIME
226;TIME
227;TIME
228;TIME
229;TIME
230;TIME
231;TIME
232;TIME
233;TIME
234;TIME
235;TIME
236;TIME
237;TIME
238;TIME
239;TIME
240;TIME
241;TIME
242;TIME
243;TIME
244;TIME
245;TIME
246;TIME
247;TIME
248;TIME
249;TIME
250;TIME
251;TIME
252;TIME
253;TIME
254;TIME
255;TIME
256;TIME
257;TIME
258;TIME
259;TIME
260;TIME
261;TIME
262;TIME
263;TIME
264;TIME
265;TIME
266;TIME
267;TIME
268;TIME
269;TIME
270;TIME
271;TIME
272;TIME
273;TIME
274;TIME
275;TIME
276;TIME
277;TIME
278;TIME
279;TIME
280;TIME
281;TIME
282;TIME
283;TIME
284;TIME
285;TIME
286;TIME
287;TIME
288;FAIL
289;FAIL
290;TIME
291;TIME
292;TIME
293;TIME
294;TIME
295;TIME
296;TIME
297;TIME
298;TIME
299;TIME
300;TIME
301;TIME
302;TIME
303;TIME
304;TIME
305;TIME
306;TIME
307;TIME
308;TIME
309;TIME
310;TIME
311;TIME
312;TIME
313;TIME
314;TIME
315;TIME
316;TIME
317;TIME
318;TIME
319;TIME
320;TIME
321;TIME
322;TIME
323;TIME
324;TIME
325;TIME
326;TIME
327;TIME
328;TIME
329;TIME
330;TIME
331;TIME
332;TIME
333;TIME
334;TIME
335;TIME
336;TIME
337;TIME
338;TIME
339;TIME
340;TIME
341;TIME
342;TIME
343;TIME
344;TIME
345;TIME
346;TIME
347;TIME
348;TIME
349;TIME
350;TIME
351;TIME
352;TIME
353;TIME
354;TIME
355;TIME
356;TIME
357;TIME
358;TIME
359;TIME
360;TIME
361;TIME
362;TIME
363;TIME
364;TIME
365;TIME
366;TIME
367;TIME
368;TIME
369;TIME
370;TIME
371;TIME
372;TIME
373;TIME
374;TIME
375;TIME
376;TIME
377;TIME
378;TIME
379;TIME
380;TIME
381;TIME
382;TIME
383;TIME
384;TIME
385;TIME
386;TIME
387;TIME
388;TIME
389;TIME
390;TIME
391;TIME
392;TIME
393;TIME
394;TIME
395;TIME
396;TIME
397;TIME
398;TIME
399;TIME
400;TIME
401;TIME
402;TIME
403;TIME
404;TIME
405;TIME
406;TIME
407;TIME
408;TIME
409;TIME
410;TIME
411;TIME
412;TIME
413;TIME
414;TIME
415;TIME
416;TIME
417;TIME
418;TIME
419;TIME
420;TIME
421;TIME
422;TIME
423;TIME
424;TIME
425;TIME
426;TIME
427;TIME
428;TIME
429;TIME
430;TIME
431;TIME
432;TIME
433;TIME
434;TIME
435;TIME
436;TIME
437;TIME
438;TIME
439;TIME
440;TIME
441;TIME
442;TIME
443;TIME
444;TIME
445;TIME
446;TIME
447;TIME
448;TIME
449;TIME
450;TIME
451;TIME
452;TIME
453;TIME
454;TIME
455;TIME
456;TIME
457;TIME
458;TIME
459;TIME
460;TIME
461;TIME
462;TIME
463;TIME
464;TIME
