CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
1114;gnu.trove.TDecoratorsTest$null;11;34;38;88;88;38;29;9;0;6136;88
36252;gnu.trove.decorator.TObjectPrimitiveMapDecoratorTest$null;63;49;319;1117;1117;357;213;142;2;5817;1205
70041;gnu.trove.decorator.TPrimitiveObjectMapDecoratorTest$null;69;35;252;1057;1090;609;370;236;3;5565;2262
278759;gnu.trove.decorator.TPrimitivePrimitiveMapDecoratorTest$null;2777;273;272;1021;1070;881;532;346;3;5293;3283
312947;gnu.trove.decorator.TPrimitiveSetDecoratorTest$null;64;35;94;870;1042;975;576;392;7;5199;4153
315812;gnu.trove.impl.PrimeFinderTest$null;7;3;7;494;502;982;583;392;7;5192;4647
343778;gnu.trove.impl.hash.THashTest$null;50;30;79;939;1428;1061;628;424;9;5113;5586
357860;gnu.trove.impl.hash.TObjectHashTest$null;34;21;13;680;813;1074;628;437;9;5100;6266
811736;gnu.trove.list.array.TArrayListTest$null;1437;1771;134;251;283;1208;684;503;21;4966;6517
836140;gnu.trove.list.array.TPrimitiveArrayListTest$null;28;20;242;1074;1382;1450;828;594;28;4724;7591
836482;gnu.trove.list.linked.TLinkableAdapterTest$null;7;4;17;46;46;1467;831;608;28;4707;7637
860964;gnu.trove.list.linked.TLinkedListTest$null;373;104;224;366;383;1691;956;705;30;4483;8003
888550;gnu.trove.list.linked.TPrimitiveLinkedListTest$null;35;24;278;1037;1232;1969;1120;812;37;4205;9040
895805;gnu.trove.map.hash.NoEntryValueTest$null;12;9;10;615;726;1979;1124;818;37;4195;9655
936685;gnu.trove.map.hash.TCustomHashMapTest$null;74;54;69;681;871;2048;1142;869;37;4126;10336
965073;gnu.trove.map.hash.THashMapTest$null;40;27;260;1033;1279;2308;1314;953;41;3866;11369
973930;gnu.trove.map.hash.TObjectPrimitiveCustomHashMapTest$null;14;12;25;622;741;2333;1321;971;41;3841;11991
1123310;gnu.trove.map.hash.TObjectPrimitiveHashMapTest$null;1101;138;218;1108;1608;2551;1457;1053;41;3623;13099
1290840;gnu.trove.map.hash.TPrimitiveObjectHashMapTest$null;1086;128;387;1458;1921;2938;1718;1179;41;3236;14557
1490065;gnu.trove.map.hash.TPrimitivePrimitiveHashMapTest$null;1164;131;415;1530;2079;3353;1999;1313;41;2821;16087
1497009;gnu.trove.set.hash.TCustomHashSetTest$null;10;9;29;588;726;3382;2006;1335;41;2792;16675
1546627;gnu.trove.set.hash.THashSetTest$null;144;59;84;763;1038;3466;2053;1371;42;2708;17438
1848306;gnu.trove.set.hash.TLinkedHashSetTest$null;14851;405;41;738;1100;3507;2074;1391;42;2667;18176
1876691;gnu.trove.set.hash.TPrimitiveHashSetTest$null;62;31;65;805;1128;3572;2121;1409;42;2602;18981
1878478;gnu.trove.stack.array.TStackTest$null;10;11;63;157;259;3635;2142;1451;42;2539;19138
1884408;gnu.trove.strategy.IdentityHashingStrategyTest$null;8;8;1;519;672;3636;2143;1451;42;2538;19657
