GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,SwapTableModel,105,0,15,0,42,0,18,0,6,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,DataPanel.new ActionListener() {...},38,0,0,0,6,0,2,0,2,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,StatisticsPanel,884,0,0,0,124,0,11,0,11,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,TurnOrderTableModel,51,0,6,0,16,0,9,0,5,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,DataPanel,300,0,0,0,71,0,15,0,15,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,DataPanel.1.new MouseAdapter() {...},16,0,0,0,4,0,2,0,2,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,TurnOrderPopup,34,0,0,0,11,0,2,0,2,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,RoundStatsDiagram,57,0,0,0,5,0,2,0,2,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,CritListPopup,60,0,0,0,19,0,2,0,2,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,HealthDistributionDiagram,118,0,10,0,28,0,11,0,6,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,StatisticDiagramm.AsyncImageUpdater,10,0,0,0,3,0,2,0,2,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,CritTableModel,80,0,13,0,35,0,16,0,6,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,StatisticDiagramm,381,0,16,0,78,0,25,0,17,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,SwapListPopup,94,0,0,0,28,0,2,0,2,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,StatisticsPanel.new ActionListener() {...},15,0,0,0,3,0,2,0,2,0
twfbplayer,de.outstare.fortbattleplayer.gui.statistics,ListPopup,108,0,2,0,25,0,5,0,4,0
twfbplayer,de.outstare.fortbattleplayer.model.impl,SimpleSector,240,186,48,14,56,51,38,16,11,12
twfbplayer,de.outstare.fortbattleplayer.model.impl,SimpleWeapon,83,87,16,10,7,22,16,12,4,10
