CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
3165;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testAmountOfDefenseBonus;61;1;41;194;194;41;5;36;0;485;194
3375;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testSurvivedPlayers;22;1;11;22;22;52;13;39;0;474;216
3516;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testInitialHealthPerPlayerOne;23;1;9;18;25;61;22;39;0;465;234
3574;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testNumberOfPlayersOne;25;1;0;7;14;61;22;39;0;465;241
3641;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testInitialHealthPerPlayerMultiple;19;1;1;9;21;62;23;39;0;464;250
3831;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageWeaponDamageMultiple;26;1;14;26;39;76;36;40;0;450;276
3887;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testCausedDamagePerPlayerMultiple;23;1;0;8;21;76;36;40;0;450;284
3965;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testHitsWholeSide;17;1;0;7;17;76;36;40;0;450;291
4404;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageLifetimeOne;19;1;32;55;66;108;68;40;0;418;346
4588;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageLifetimeMultiple;19;1;7;23;62;115;75;40;0;411;369
4711;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testShotsFiredPerPlayerMultiple;17;1;4;12;27;119;79;40;0;407;381
4785;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testTakenDamagePerPlayerMultiple;52;1;0;8;21;119;79;40;0;407;389
4832;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testTakenDamageWholeSide;24;1;0;7;17;119;79;40;0;407;396
4877;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testTakenDamageWholeSideMultiple;25;1;0;7;15;119;79;40;0;407;403
4988;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageHitDamage;23;1;10;18;28;129;89;40;0;397;421
5033;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testDodgesPerPlayer;14;1;1;8;25;130;90;40;0;396;429
5072;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testDodgesPerPlayerMultiple;17;1;0;7;21;130;90;40;0;396;436
5110;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testDodgesWholeSide;15;1;0;7;17;130;90;40;0;396;443
7765;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testNumberOfDuelants;14;1;14;21;26;144;103;41;0;382;464
7804;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testNumberOfGreenhorns;12;1;0;7;26;144;103;41;0;382;471
7852;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testNumberOfSoldiers;13;1;0;7;26;144;103;41;0;382;478
7891;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testNumberOfWorkers;13;1;0;7;26;144;103;41;0;382;485
7945;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageLevelOne;22;1;0;6;25;144;103;41;0;382;491
8003;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageLevelMultiple;18;1;0;6;21;144;103;41;0;382;497
8059;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testInitialHealthWholeSideOne;18;1;0;6;17;144;103;41;0;382;503
8198;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testEndHealthPerPlayer;18;1;2;15;41;146;105;41;0;380;518
8281;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testEndHealthWholeSide;17;1;0;9;22;146;105;41;0;380;527
8336;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testEndHealthWholeSideMultiple;19;1;0;9;20;146;105;41;0;380;536
8373;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testMaxPossibleHealthPerPlayer;18;1;0;6;25;146;105;41;0;380;542
8418;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testMaxPossibleHealthPerPlayerMultiple;18;1;0;6;21;146;105;41;0;380;548
8463;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testMaxPossibleHealthWholeSideMultiple;13;1;0;6;15;146;105;41;0;380;554
8513;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testCausedDamageWholeSide;26;1;0;6;17;146;105;41;0;380;560
8570;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testCausedDamageWholeSideMultiple;17;1;0;6;15;146;105;41;0;380;566
8623;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testShotsFiredPerPlayer;13;1;0;6;29;146;105;41;0;380;572
8676;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testHitsPerPlayer;12;1;0;6;25;146;105;41;0;380;578
10145;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testTotalSwaps;21;2;7;118;135;153;109;44;0;373;696
11785;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testCriticalHits;19;2;6;81;102;159;110;47;2;367;777
15725;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testPercentAbleToShoot;29;2;45;197;246;204;149;51;4;322;974
17638;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testAmountOfAttackBonus;25;2;1;139;194;205;150;51;4;321;1113
18540;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testNumberOfMovesPerPlayer;19;2;10;65;88;215;159;51;5;311;1178
18606;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageWeaponDamageOne;14;2;0;9;41;215;159;51;5;311;1187
18641;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testCausedDamagePerPlayerOne;15;2;0;5;25;215;159;51;5;311;1192
18727;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testShotsFiredWholeSide;14;2;4;9;21;219;163;51;5;307;1201
