CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
4126;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testAmountOfDefenseBonus;93;1;41;194;194;41;5;36;0;505;194
7209;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testNumberOfOffliners;38;1;16;167;208;57;21;36;0;489;361
11188;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testRoundsTillOnline;39;1;20;231;281;77;41;36;0;469;592
15104;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testAverageRoundsOnline;34;1;20;228;281;97;61;36;0;449;820
16759;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testTargetNoOne;28;1;10;109;128;107;68;39;0;439;929
18053;de.outstare.fortbattleplayer.statistics.BattleStatisticsTest$testCriticalHits;29;1;5;82;102;112;71;41;0;434;1011
18255;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testSurvivedPlayers;23;1;11;22;22;123;79;44;0;423;1033
18496;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testInitialHealthPerPlayerOne;27;1;9;18;25;132;88;44;0;414;1051
18592;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testInitialHealthPerPlayerMultiple;47;1;1;9;21;133;89;44;0;413;1060
18823;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageWeaponDamageMultiple;26;1;14;26;39;147;102;45;0;399;1086
18905;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testCausedDamagePerPlayerMultiple;24;1;0;8;21;147;102;45;0;399;1094
19048;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testShotsFiredWholeSide;23;1;4;11;21;151;106;45;0;395;1105
19113;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testHitsWholeSide;24;1;0;7;17;151;106;45;0;395;1112
19659;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testAverageLifetimeOne;28;1;32;55;66;183;138;45;0;363;1167
19806;de.outstare.fortbattleplayer.statistics.CombatantStatisticTest$testNumberOfDuelants;28;1;14;21;26;197;151;46;0;349;1188
