mutantNo;[FAIL | TIME | EXC | LIVE]
1224;LIVE
1225;LIVE
1226;LIVE
1227;LIVE
1228;LIVE
1229;LIVE
1230;LIVE
1232;LIVE
1255;LIVE
1256;LIVE
1257;LIVE
1258;LIVE
1310;EXC
1311;FAIL
1312;FAIL
1313;FAIL
1314;FAIL
1315;FAIL
1316;FAIL
1317;FAIL
1318;FAIL
1319;EXC
1320;FAIL
1321;FAIL
1323;FAIL
1324;FAIL
1325;LIVE
1326;LIVE
1327;EXC
1328;LIVE
1329;LIVE
1330;FAIL
1331;FAIL
1332;FAIL
1333;FAIL
1334;FAIL
1335;FAIL
1336;FAIL
1337;FAIL
1338;FAIL
1339;FAIL
1340;FAIL
1341;FAIL
1342;FAIL
1343;FAIL
1344;FAIL
1345;FAIL
1346;FAIL
1347;FAIL
1348;FAIL
1349;LIVE
1350;FAIL
1351;FAIL
1352;LIVE
1353;FAIL
1354;FAIL
1355;FAIL
1356;FAIL
1357;FAIL
1358;FAIL
1359;FAIL
1360;FAIL
1361;FAIL
1362;FAIL
1363;FAIL
1364;FAIL
1365;FAIL
1366;FAIL
1367;FAIL
1368;FAIL
1369;FAIL
1370;FAIL
1371;FAIL
1372;FAIL
1373;FAIL
1374;EXC
1375;FAIL
1376;FAIL
1377;FAIL
1378;FAIL
1379;FAIL
1380;FAIL
1381;FAIL
1382;FAIL
1383;LIVE
1384;FAIL
1385;FAIL
1386;FAIL
1387;FAIL
1388;FAIL
1389;FAIL
1414;EXC
1415;EXC
1416;LIVE
1417;LIVE
1418;EXC
1419;LIVE
1420;LIVE
1421;EXC
1422;LIVE
1423;LIVE
1437;LIVE
1438;FAIL
1439;FAIL
1440;FAIL
1441;FAIL
1442;FAIL
1443;FAIL
1444;FAIL
1445;FAIL
1446;FAIL
1447;FAIL
1448;FAIL
1449;FAIL
1450;FAIL
1451;FAIL
1452;FAIL
1453;FAIL
1454;FAIL
1455;FAIL
1456;FAIL
1457;FAIL
1458;FAIL
1459;LIVE
1460;LIVE
1461;FAIL
1462;LIVE
1463;FAIL
1464;FAIL
1465;FAIL
1466;FAIL
1467;LIVE
1468;LIVE
1469;FAIL
1470;FAIL
1471;FAIL
1472;FAIL
1473;FAIL
1474;FAIL
1475;FAIL
1476;FAIL
1485;FAIL
1486;FAIL
1487;FAIL
1488;FAIL
1489;FAIL
1490;FAIL
1491;FAIL
1492;LIVE
1493;LIVE
1494;FAIL
1495;LIVE
1496;FAIL
1497;LIVE
1498;LIVE
1499;EXC
1500;EXC
1501;LIVE
1502;LIVE
1503;LIVE
1504;LIVE
1505;EXC
1506;EXC
1507;EXC
1508;EXC
1509;LIVE
1510;LIVE
1511;EXC
1512;LIVE
1513;LIVE
1514;EXC
1515;EXC
1516;EXC
1517;EXC
1518;EXC
1519;EXC
1520;EXC
1521;EXC
1522;EXC
1523;EXC
1524;EXC
1525;EXC
1526;EXC
1527;EXC
1528;LIVE
1529;EXC
1530;EXC
1531;EXC
1532;FAIL
1533;EXC
1534;EXC
1535;FAIL
1536;FAIL
1537;FAIL
1538;LIVE
1539;LIVE
1540;EXC
1541;FAIL
1544;EXC
1545;FAIL
1546;FAIL
1547;FAIL
1548;FAIL
1549;FAIL
1550;FAIL
1551;FAIL
1553;EXC
1554;EXC
1555;LIVE
1556;LIVE
1557;EXC
1577;LIVE
1578;LIVE
1579;LIVE
1580;FAIL
1581;LIVE
1582;LIVE
1583;LIVE
1584;FAIL
1585;FAIL
1586;FAIL
1594;FAIL
1596;LIVE
1599;LIVE
1600;FAIL
1601;LIVE
1637;EXC
1643;LIVE
1644;LIVE
1645;LIVE
1646;LIVE
1647;LIVE
1648;LIVE
1649;LIVE
1650;LIVE
1651;LIVE
1652;LIVE
1653;LIVE
1656;LIVE
1657;LIVE
1658;LIVE
1659;LIVE
1660;LIVE
1661;LIVE
1662;LIVE
1663;LIVE
1664;EXC
1665;LIVE
1666;LIVE
1667;EXC
1669;LIVE
1671;LIVE
1676;LIVE
1678;LIVE
1679;LIVE
1680;LIVE
1681;LIVE
1696;EXC
1697;LIVE
1698;FAIL
1699;LIVE
1701;FAIL
1702;FAIL
1703;FAIL
1704;FAIL
1705;FAIL
1706;FAIL
1707;FAIL
1708;FAIL
1709;FAIL
1710;FAIL
1711;FAIL
1712;FAIL
1713;LIVE
1714;LIVE
1715;LIVE
1716;FAIL
1717;FAIL
1718;FAIL
1719;FAIL
1720;FAIL
1721;FAIL
1722;LIVE
1723;FAIL
1724;FAIL
1725;FAIL
1726;FAIL
1727;FAIL
1728;FAIL
1729;FAIL
1730;FAIL
1731;FAIL
1732;FAIL
1733;FAIL
1734;FAIL
1735;FAIL
1736;LIVE
1737;LIVE
1738;FAIL
1739;LIVE
1740;FAIL
1741;FAIL
1742;FAIL
1743;FAIL
1744;EXC
1745;EXC
1746;EXC
1747;FAIL
1748;LIVE
1749;LIVE
1750;FAIL
1751;EXC
1752;FAIL
1753;LIVE
1754;FAIL
1755;FAIL
1756;EXC
1757;FAIL
1758;FAIL
1759;EXC
1760;EXC
1761;EXC
1762;FAIL
1764;FAIL
1765;LIVE
1769;LIVE
1770;FAIL
1772;FAIL
1773;LIVE
1774;FAIL
1775;FAIL
2951;LIVE
2952;LIVE
2953;LIVE
2959;LIVE
2960;EXC
2961;LIVE
2962;EXC
2963;LIVE
2964;EXC
2965;LIVE
2966;EXC
2967;LIVE
2968;EXC
2969;LIVE
2970;EXC
2971;LIVE
2972;EXC
2973;LIVE
2974;EXC
2975;LIVE
2976;LIVE
2977;LIVE
2978;LIVE
2979;LIVE
2980;LIVE
2981;LIVE
2982;LIVE
2983;LIVE
2988;LIVE
2989;LIVE
2990;EXC
2991;LIVE
2992;LIVE
2993;EXC
2994;LIVE
2995;LIVE
2996;EXC
3178;LIVE
3179;LIVE
3180;EXC
3185;EXC
3186;EXC
3187;LIVE
3188;LIVE
3189;EXC
3190;LIVE
3192;LIVE
3193;LIVE
3194;LIVE
3195;LIVE
3196;LIVE
3197;LIVE
3198;LIVE
3201;EXC
3202;LIVE
3203;LIVE
3204;EXC
3205;LIVE
3206;LIVE
3306;LIVE
3383;LIVE
3384;LIVE
3386;LIVE
3387;LIVE
3388;LIVE
3389;LIVE
3390;LIVE
3391;LIVE
3397;LIVE
3398;LIVE
3399;LIVE
3401;LIVE
3402;LIVE
3403;LIVE
3404;LIVE
3405;LIVE
3406;LIVE
3407;LIVE
3408;LIVE
3409;LIVE
3410;LIVE
3411;LIVE
3412;LIVE
3413;LIVE
3414;LIVE
3416;LIVE
3417;LIVE
3418;LIVE
3419;LIVE
3420;LIVE
3426;LIVE
3427;LIVE
3428;LIVE
3429;LIVE
3430;LIVE
3431;LIVE
3432;LIVE
3433;LIVE
3434;LIVE
3436;LIVE
3437;LIVE
3438;LIVE
3439;LIVE
3440;LIVE
3441;LIVE
3449;LIVE
3450;LIVE
3451;LIVE
3452;LIVE
3453;LIVE
3454;LIVE
3455;LIVE
3458;LIVE
3459;LIVE
3460;LIVE
3461;LIVE
3462;LIVE
3463;LIVE
