mutantNo;[FAIL | TIME | EXC | LIVE]
1;FAIL
2;FAIL
3;FAIL
4;FAIL
5;FAIL
6;FAIL
7;LIVE
8;FAIL
9;FAIL
10;FAIL
11;FAIL
12;FAIL
13;FAIL
14;FAIL
15;FAIL
16;FAIL
17;FAIL
18;FAIL
19;FAIL
20;FAIL
21;FAIL
22;FAIL
23;FAIL
24;FAIL
25;FAIL
26;FAIL
27;FAIL
28;FAIL
29;FAIL
30;FAIL
31;FAIL
32;FAIL
33;LIVE
34;FAIL
35;FAIL
36;FAIL
37;FAIL
38;FAIL
39;FAIL
40;LIVE
41;FAIL
42;FAIL
43;FAIL
44;LIVE
45;FAIL
46;FAIL
47;FAIL
48;FAIL
49;FAIL
50;FAIL
51;LIVE
52;FAIL
53;FAIL
54;FAIL
55;FAIL
56;LIVE
57;FAIL
58;FAIL
59;FAIL
60;FAIL
61;FAIL
62;FAIL
63;FAIL
64;FAIL
65;FAIL
66;LIVE
67;FAIL
68;FAIL
69;FAIL
70;LIVE
71;FAIL
72;FAIL
73;FAIL
74;FAIL
75;FAIL
76;LIVE
77;FAIL
78;FAIL
79;FAIL
